#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3439.1658928802003    All      -0.6197036169962237        0.20635686591017333        -0.12466665887219675      0.26351177545306387        
Zeropoint     AB|PS|PS_i                5289.997135281502     All      0.8516931789150821         0.2475979895409708         -0.8223734640487979       -0.2334724279963507        
Zeropoint     AB|PS|PS_z                6079.497503845008     All      0.5828606325057829         0.08998116991456584        0.11310257126959655       -0.1554998079241962        
Zeropoint     AB|PS|PS_r                4367.507213028217     All      0.1795689861596465         0.45372728688075625        0.8308647743363928        0.12638005693980311        
Check         All|All|All               All                   All      0.9944191805842879         0.9976633122464662         -0.003072777315005215     0.0009195964723200667      
Lambda        AB|PS|PS_g                3439.1658928802003    All      -0.0007668519402709801     0.0002256973465640882      -0.0008185434135977895    0.00028677812350885056     
Lambda        AB|PS|PS_i                5289.997135281502     All      0.0003949994952212243      0.00010560505674835931     -0.0009435501099496104    -0.00013637159724298425    
Lambda        AB|PS|PS_z                6079.497503845008     All      -0.00011345302286042193    -2.9629053878018827e-05    -0.0004592047182542246    6.812026899535613e-06      
Lambda        AB|PS|PS_r                4367.507213028217     All      -0.000262154450934068      -9.375073038291539e-05     -0.001275217709248479     -2.05247739931241e-06      
MWEBV         All|All|All               All                   All      -0.5848202915895184        -2.4875168578327944        -0.18573308136154987      -0.6280592828631297        
Redshift      All|All|All               All                   All      2.583932371655829          -0.06845433131470458       2.487531091801032         -0.7529625222781083        
