#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5545.4985033698895    All      0.8242419596346711        0.24512827498881506       -1.4410874831416232       -0.2529454950606705       
Zeropoint     AB|SDSS|SDSS_g            4243.892262241122     All      -0.8783834985464543       0.7493354641280092        -0.01874562536317015      0.5293650853419248        
Zeropoint     AB|SDSS|SDSS_z            7995.329102174462     All      0.1346491191144653        -0.0118071306960843       0.11026048469477967       -0.04278519980695922      
Zeropoint     AB|SDSS|SDSS_u            3227.4229826231403    All      -0.08428713217492566      0.038944813044672344      0.04951616658930291       0.04235037786395196       
Zeropoint     AB|SDSS|SDSS_i            6724.88618976154      All      0.9968801611388324        -0.020735795901138943     1.3107074665964502        -0.2729801414059471       
Check         All|All|All               All                   All      0.9931006091665888        1.0008656255642734        0.010651009375739484      0.0030046269322999697     
Lambda        AB|SDSS|SDSS_r            5545.4985033698895    All      0.00014947743862874521    2.3712115963545426e-05    1.8959438974769826e-05    -4.011983046438317e-05    
Lambda        AB|SDSS|SDSS_g            4243.892262241122     All      -0.0006820977023200642    0.000408155558714103      -0.0011386465960939768    0.0003043187874167076     
Lambda        AB|SDSS|SDSS_z            7995.329102174462     All      1.6232929804146264e-06    8.714747152382787e-09     1.650988826032189e-05     2.108392372644481e-07     
Lambda        AB|SDSS|SDSS_u            3227.4229826231403    All      -7.647146108203294e-05    4.301264061770358e-05     0.00016091810577848758    4.610093882455679e-05     
Lambda        AB|SDSS|SDSS_i            6724.88618976154      All      -0.0005172326396664861    2.221376959156391e-05     -0.0005380468111466253    0.00015170488473321248    
MWEBV         All|All|All               All                   All      -0.754225552339471        -3.5464446997064414       0.24109579769517886       -0.8987586394406291       
Redshift      All|All|All               All                   All      1.6628252936823815        -0.15857768403826356      -7.47180997589012         -0.9267234346637107       
