#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5545.4985033698895    All      0.9298588602223135        0.2816042691812015        -0.8764598089069517       -0.25027022308187763       
Zeropoint     AB|SDSS|SDSS_g            4243.892262241122     All      -0.7661461757530168       0.6546856441328686        -0.25965933147618897      0.4512242643236637         
Zeropoint     AB|SDSS|SDSS_z            7995.329102174462     All      0.09673683750775619       -0.007036006884320045     0.07019538742966537       -0.03066973169844042       
Zeropoint     AB|SDSS|SDSS_u            3227.4229826231403    All      -0.11679146853394426      0.07040660871364679       0.22141311882510928       0.07085722297284398        
Zeropoint     AB|SDSS|SDSS_i            6724.88618976154      All      0.8489860584147783        0.0013777004429726958     0.8564942761252622        -0.2378725218705683        
Check         All|All|All               All                   All      0.9926441118578868        1.0010382155863695        0.011983641996896166      0.003269010645621351       
Lambda        AB|SDSS|SDSS_r            5545.4985033698895    All      0.00012096381103111141    3.263102702202019e-05     0.00024787732082786647    -1.771126744484479e-05     
Lambda        AB|SDSS|SDSS_g            4243.892262241122     All      -0.0004387281972548896    0.00022238879303793479    -0.0012362402317573618    0.0001601798301439954      
Lambda        AB|SDSS|SDSS_z            7995.329102174462     All      4.014576066785317e-06     -9.606549315517256e-07    2.235656150267471e-06     -1.5208293504072963e-06    
Lambda        AB|SDSS|SDSS_u            3227.4229826231403    All      -7.915335945259332e-05    4.7497726158019155e-05    0.00014482032013414016    4.77170910322442e-05       
Lambda        AB|SDSS|SDSS_i            6724.88618976154      All      -0.0004856974172655952    4.295311534247701e-06     -0.0005195892695545487    0.00013641986933904553     
MWEBV         All|All|All               All                   All      -0.8166932883407161       -3.502078267229791        0.3457161491232312        -0.859290510247294         
Redshift      All|All|All               All                   All      2.1564511765664296        0.09047112871556351       -7.357685633336756        -1.0012973874977205        
