#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6378.339860962782     All      1.1343811117813791         -0.13552223326769308      -0.7532423546774747       -0.4472630448338392       
Zeropoint     AB|PS|PS_g                4146.726045789083     All      -0.9227514925911396        0.6380340424632536        -0.5563400907065308       0.48357229401550444       
Zeropoint     AB|PS|PS_z                7330.2688587060775    All      0.4109827110142482         -0.009966812663542157     0.3634505529490628        -0.12089797977972924      
Zeropoint     AB|PS|PS_r                5266.060573852833     All      0.3737989868748077         0.5060787751480333        0.9468548868203808        0.08534166376795368       
Check         All|All|All               All                   All      0.9964113170792954         0.9986237716800517        0.0007229943854381027     0.0007529331698896691     
Lambda        AB|PS|PS_i                6378.339860962782     All      -0.000543038326947639      0.00011249358487771297    0.0005911795061325354     0.00023990993621026365    
Lambda        AB|PS|PS_g                4146.726045789083     All      -0.0008109996135968714     0.0002757086957482321     -0.002132541906677898     0.0002588110971108246     
Lambda        AB|PS|PS_z                7330.2688587060775    All      -0.00017295518085375436    5.295327275545086e-05     0.00023982352353245923    8.428803789353491e-05     
Lambda        AB|PS|PS_r                5266.060573852833     All      0.00012639523688922746     0.00011988345425674752    0.0006719924670129813     2.7866835618338278e-05    
MWEBV         All|All|All               All                   All      -0.5422366176230113        -3.3240287438301763       0.09439799635269086       -0.9019086647253572       
Redshift      All|All|All               All                   All      7.990712028261435          -0.2958449260846763       -0.9020086023687313       -2.739456720804765        
