#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6378.339860962782     All      1.1509174089707            -0.13714188438118669      -0.7016712146736354       -0.4508756513883306       
Zeropoint     AB|PS|PS_g                4146.726045789083     All      -0.8921300636631144        0.6591880471523481        -0.4157574656110116       0.48676199935724884       
Zeropoint     AB|PS|PS_z                7330.2688587060775    All      0.4056529912101761         -0.017450461879597867     0.2588131843118782        -0.1262690706316113       
Zeropoint     AB|PS|PS_r                5266.060573852833     All      0.33226329101929586        0.4941650157208599        0.8597839751046344        0.09110492810778471       
Check         All|All|All               All                   All      0.9967036275370577         0.9987607166124235        0.001168479131865685      0.0007222054450916754     
Lambda        AB|PS|PS_i                6378.339860962782     All      -0.00044793192374654734    8.205102037407808e-05     0.00031830875162984956    0.00018683753846707323    
Lambda        AB|PS|PS_g                4146.726045789083     All      -0.0008775670131150493     0.0003973462437639825     -0.0018414116210779504    0.00033310744781477286    
Lambda        AB|PS|PS_z                7330.2688587060775    All      -0.00015948965798899425    2.4093331173661853e-05    -1.354810717616335e-05    5.919442947215692e-05     
Lambda        AB|PS|PS_r                5266.060573852833     All      9.485824378409223e-05      0.00011479979067953726    0.0002678792482838814     1.8449838407275828e-05    
MWEBV         All|All|All               All                   All      -0.5450694309769601        -3.3280634464352588       0.06468702114231731       -0.9036260239614988       
Redshift      All|All|All               All                   All      8.007038768017942          -0.2979139353028515       2.7742450456813983        -2.581394505557799        
