#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3692.8663816728954    All      -0.4366893854889891        0.3684847497421373         0.4576012916614802        0.2826923492471496         
Zeropoint     AB|PS|PS_r                4689.689611104668     All      -0.37201307099766867       0.48110636705267495        0.19687043346399147       0.2866744910211435         
Zeropoint     AB|PS|PS_z                6527.970051078767     All      1.3738930459756484         -0.0022618856910128216     2.1701702681105495        -0.3514142035620574        
Zeropoint     AB|PS|PS_i                5680.229796553019     All      0.4263361356369386         0.15508935844614768        -2.8221127754268105       -0.21429193075708924       
Check         All|All|All               All                   All      0.9915267251259294         1.0024185895499471         0.002529217809210671      0.00366070594914647        
Lambda        AB|PS|PS_g                3692.8663816728954    All      -0.0005998049720551668     0.0004957574895611783      0.0005611659976760666     0.00038190299781692716     
Lambda        AB|PS|PS_r                4689.689611104668     All      -5.303871180231407e-05     -3.6925530009735295e-05    -0.0004906434027908126    -1.6646568205134385e-05    
Lambda        AB|PS|PS_z                6527.970051078767     All      -0.0004693545026124155     -2.9710178927883396e-05    -0.0008944542729587824    0.00010329123397041659     
Lambda        AB|PS|PS_i                5680.229796553019     All      -0.00014628790025342643    -0.0001114238968953085     0.0010527727304335053     5.8336764634367486e-05     
MWEBV         All|All|All               All                   All      -0.45561121124475035       -2.7896188352565687        0.07494055277128542       -0.7569188170300171        
Redshift      All|All|All               All                   All      2.14611828126567           0.5510095663606052         -8.68030750878096         -0.9069416428690737        
