#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3692.8663816728954    All      -0.4278094178948039        0.370085199338277          0.5362907913375592        0.28383272170890117       
Zeropoint     AB|PS|PS_r                4689.689611104668     All      -0.38469634308617473       0.4352314482023445         -0.15082610737591706      0.26034677999283995       
Zeropoint     AB|PS|PS_z                6527.970051078767     All      1.310731499241991          0.03789611599405163        2.1945946886896888        -0.31666967781675964      
Zeropoint     AB|PS|PS_i                5680.229796553019     All      0.49577710077740456        0.1583647582801717         -2.568879848819883        -0.2245436097021358       
Check         All|All|All               All                   All      0.994002839038417          1.0015775218148448         0.011179523831447824      0.002966214182845678      
Lambda        AB|PS|PS_g                3692.8663816728954    All      -0.0006440838043251227     0.00046434714230629337     0.00019459006672701304    0.0003697360865710153     
Lambda        AB|PS|PS_r                4689.689611104668     All      -3.5953265588298505e-05    -4.143138665539951e-05     -0.000391794691871933     -1.926840190669571e-05    
Lambda        AB|PS|PS_z                6527.970051078767     All      -0.0004544315564259926     -4.1937684056926895e-05    -0.00091849421884464      9.337464638024431e-05     
Lambda        AB|PS|PS_i                5680.229796553019     All      -0.00019456689887095132    -0.00011968370099829703    0.0008344976668695278     6.163171929439075e-05     
MWEBV         All|All|All               All                   All      -0.4564259051838224        -2.787840874616876         0.08606561935298082       -0.7555778435119529       
Redshift      All|All|All               All                   All      2.4493724632111213         0.5876406475072926         -8.854340055369786        -1.0015558316903874       
