#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7655.068474274185     All      0.4548942131278115         -0.04748718777882743      0.4703349364361125         -0.1426532620895412       
Zeropoint     AB|PS|PS_i                6660.960099692898     All      1.0953796001550111         -0.05220357676574139      0.715526586775781          -0.341874929815137        
Zeropoint     AB|PS|PS_r                5499.396414995184     All      0.2401275482269683         0.24650003504866902       -1.832067637808939         -0.07968103568668533      
Zeropoint     AB|PS|PS_g                4330.4648760420705    All      -0.7934710789999764        0.8525103662460509        0.6553078333628235         0.5653936867806952        
Check         All|All|All               All                   All      0.9969302825098142         0.9993196367501511        0.009101718765777811       0.0011844591893317435     
Lambda        AB|PS|PS_z                7655.068474274185     All      -4.6909326880646094e-05    1.0167324669860191e-05    3.064979280663281e-05      1.9959502659614002e-05    
Lambda        AB|PS|PS_i                6660.960099692898     All      -0.0004194361763984174     6.3111821960719335e-06    -0.0005186536208246603     0.00011553479235879833    
Lambda        AB|PS|PS_r                5499.396414995184     All      3.705978114173609e-05      2.7300246021582307e-05    -0.00037727763379801567    -2.001516969071073e-05    
Lambda        AB|PS|PS_g                4330.4648760420705    All      -0.0002972634301736753     0.00011059532445222172    -0.0015872285635331591     6.202229362275382e-05     
MWEBV         All|All|All               All                   All      -0.5680088106447263        -3.546170675315352        0.07317369517610212        -0.9668198919972313       
Redshift      All|All|All               All                   All      2.8374647314461394         1.2525890947959084        0.47964240676768793        -0.49484189802054007      
