#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7475.170778348968     All      0.11350559134386257        0.0038018707495979243     0.17598956349051953       -0.027880505015004386      
Zeropoint     AB|SDSS|SDSS_u            3017.454023564212     All      -0.07663356497093976       0.021826698011295775      -0.04821664810310544      0.0299200593459642         
Zeropoint     AB|SDSS|SDSS_i            6287.380055407141     All      0.9986975527630125         0.01813303386306586       -0.31675981546657184      -0.3335376591592401        
Zeropoint     AB|SDSS|SDSS_r            5184.7207080562275    All      0.8773480746517902         0.45212537027197186       0.9832406612817035        -0.09463150937596906       
Zeropoint     AB|SDSS|SDSS_g            3967.794073234373     All      -0.9198860104814504        0.5039926107698989        -0.7890641991382452       0.4285917999900357         
Check         All|All|All               All                   All      0.9930316433062752         0.9998795836658303        0.005189562064300546      0.002462185785786386       
Lambda        AB|SDSS|SDSS_z            7475.170778348968     All      -2.0092026054659163e-05    -8.760415962581219e-07    -4.3366719931e-05         4.324020790831935e-06      
Lambda        AB|SDSS|SDSS_u            3017.454023564212     All      -7.670359563016866e-05     2.5971022616391184e-05    6.081113546199239e-06     3.371587322553392e-05      
Lambda        AB|SDSS|SDSS_i            6287.380055407141     All      -0.0004442373887756231     -5.547234311457557e-06    0.00022149376781281557    0.00015278006535977893     
Lambda        AB|SDSS|SDSS_r            5184.7207080562275    All      0.00017508731145400282     9.086113024858512e-05     3.669048879299258e-05     -2.5797910176149093e-05    
Lambda        AB|SDSS|SDSS_g            3967.794073234373     All      -0.0009717474801237503     0.0002684306516761001     -0.003181629929810364     0.00026198528710613374     
MWEBV         All|All|All               All                   All      -0.6879008792462895        -3.2088589029740433       0.3260346390824953        -0.8066095368643167        
Redshift      All|All|All               All                   All      5.367531628882126          -0.32634567193738917      -3.016377499794798        -1.989290233971141         
