#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7475.170778348968     All      0.07347002024701328       -0.0008038789390596435    0.044241987009500154      -0.02221913581946951      
Zeropoint     AB|SDSS|SDSS_u            3017.454023564212     All      -0.06729680664249255      0.025636736499201618      0.04562363301834144       0.03230748562384591       
Zeropoint     AB|SDSS|SDSS_i            6287.380055407141     All      1.0032918852184345        0.003625846223798135      -0.48748895413472726      -0.34737851000361375      
Zeropoint     AB|SDSS|SDSS_r            5184.7207080562275    All      0.8986611610149573        0.46063423381816904       1.0729637643275078        -0.09479833598824747      
Zeropoint     AB|SDSS|SDSS_g            3967.794073234373     All      -0.9161508204043296       0.510581886936734         -0.6752412158447004       0.4346008667004364        
Check         All|All|All               All                   All      0.991975439433583         0.9996748245388432        9.921437592175231e-05     0.0025123705129516116     
Lambda        AB|SDSS|SDSS_z            7475.170778348968     All      -1.517911979566317e-05    4.366772156102862e-07     -4.714230521411901e-06    4.876204374540725e-06     
Lambda        AB|SDSS|SDSS_u            3017.454023564212     All      -7.946064776447116e-05    2.9552872075305464e-05    4.5182216853716254e-05    3.752556467385529e-05     
Lambda        AB|SDSS|SDSS_i            6287.380055407141     All      -0.0002962066367802197    2.754074604941589e-06     9.467576257354229e-05     0.00010160628366701516    
Lambda        AB|SDSS|SDSS_r            5184.7207080562275    All      0.00019928483422265264    8.56012503789366e-05      2.8712017164494634e-05    -3.574919788018902e-05    
Lambda        AB|SDSS|SDSS_g            3967.794073234373     All      -0.0008791933161151615    0.0003361577576215716     -0.0020281333363388588    0.0003053735526574298     
MWEBV         All|All|All               All                   All      -0.7024236673004158       -3.2127967389174117       0.21571034741988238       -0.8080849361630202       
Redshift      All|All|All               All                   All      4.794863403486578         -0.38158102835765817      -5.938236505592253        -1.951134473325855        
