#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4100.03646979396      All      -0.7898787403135943        0.6223300941936571        -0.14844711908562624       0.4533783645578243         
Zeropoint     AB|PS|PS_z                7247.734555459595     All      0.5554277830836871         -0.03258882699590515      0.5507293826378823         -0.16695983213622229       
Zeropoint     AB|PS|PS_i                6306.5236907184135    All      1.1347002751140267         -0.02162598253878656      0.101704305082706          -0.3721149080965741        
Zeropoint     AB|PS|PS_r                5206.767981903698     All      0.09552165745653218        0.43039480679922804       -0.5081124783053559        0.08640447550972707        
Check         All|All|All               All                   All      0.9957709753406516         0.9985100914581935        -0.004125909670393835      0.0007080998347550049      
Lambda        AB|PS|PS_g                4100.03646979396      All      -0.0005458892918929243     0.0003127914939221398     -0.0010761725228601586     0.0002316759446850887      
Lambda        AB|PS|PS_z                7247.734555459595     All      -0.00025854133045439555    1.4516152684564566e-05    -0.00026993899671825877    7.689766794415591e-05      
Lambda        AB|PS|PS_i                6306.5236907184135    All      -0.00019342995431132124    1.674731002354189e-05     0.0002404756654977713      7.919297410685922e-05      
Lambda        AB|PS|PS_r                5206.767981903698     All      -5.386187789982694e-09     1.0832747621526663e-05    -0.0004439016486434719     -1.6278955066722806e-05    
MWEBV         All|All|All               All                   All      -0.5368120020376428        -3.2717925706133855       0.06872122038051875        -0.8878064369327726        
Redshift      All|All|All               All                   All      6.570800729888356          0.6269050561286349        6.236020381144836          -1.6578374206980064        
