#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.2958651684041319        0.11644896447089437       -0.02870614675025032       0.1330232543225544        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      1.0519948674680253         -0.05240699763007228      0.025953614055060265       -0.3585818306099526       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      0.32126507989297776        -0.03476906831254567      0.06958222307741752        -0.11286690020974503      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      0.6936987786128596         0.20347205288917536       0.0921313761636067         -0.15557157237435507      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.529492581985159         0.3487238059217468        -0.1134169682830023        0.2810026916130731        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -0.24731722227562158       0.4166592012746939        -0.044662771381719805      0.21428587096775892       
Check         All|All|All                              All                   All      0.9942837533089504         0.9981279586138925        0.000881326881112067       0.0012915137093337248     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.00040864695734090314    9.177023113904846e-05     -0.00039341161046004675    0.00014544618822375413    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      -0.00011330846051882225    -3.062367418709126e-05    -0.0003687018311560519     1.0479685818681392e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      -5.907602644041582e-05     2.3512652404486345e-07    -6.537525425877399e-05     1.6402196459611935e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      0.0002204735968663762      1.3431645712435162e-05    -0.00047923326617476823    -8.882635459931086e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.00032472940224712607    9.514356937308613e-05     -0.0005950619944432539     0.00011021155647605421    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -7.855406393625945e-05     -3.480521568479531e-05    -0.0008489107969384817     -2.363255079124035e-05    
MWEBV         All|All|All                              All                   All      -1.0679106952787656        -3.977640152844142        0.012774752964714189       -0.9472245330323161       
Redshift      All|All|All                              All                   All      5.3509520390669305         1.0157165061289497        4.757756812646689          -1.1998120031287898       
