#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7744.437868279168     All      0.46712189883689215        -0.004644409748522094     0.24831021711759724        -0.1425888628144311       
Zeropoint     AB|PS|PS_g                4381.021056307778     All      -0.9197807405071512        0.8025549295860301        0.03600977309479014        0.5626283416961458        
Zeropoint     AB|PS|PS_i                6738.723736896335     All      0.923820626754594          -0.32380181872113667      -0.05197498761381537       -0.40871108103544734      
Zeropoint     AB|PS|PS_r                5563.5993318799865    All      0.5270248658515196         0.52439084968956          -0.22943886687500412       -0.011096788574539171     
Check         All|All|All               All                   All      0.9981866509358543         0.9984995508059313        0.002906135723567932       0.00023160927172826383    
Lambda        AB|PS|PS_z                7744.437868279168     All      -0.00012959903986510234    -5.500250999753853e-06    0.00015232376950766538     4.722056849768686e-05     
Lambda        AB|PS|PS_g                4381.021056307778     All      -0.00041101396041091974    0.00030730038122373177    -0.00029693727848408187    0.0002207276659551571     
Lambda        AB|PS|PS_i                6738.723736896335     All      -0.0006425105379680743     0.000114823745899968      -0.0009571733776524438     0.00020397444010738028    
Lambda        AB|PS|PS_r                5563.5993318799865    All      -6.847129414895143e-05     8.190240380564829e-05     -0.0009045260084662209     8.616819151377023e-06     
MWEBV         All|All|All               All                   All      -0.5744908369981934        -3.598583815900014        0.04233089967658358        -0.9831575392984132       
Redshift      All|All|All               All                   All      4.700104916345221          -0.0453338081239707       3.574411555908661          -1.3862359417946923       
