#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6115.435420123895     All      0.969082334723048          -0.09704915160355654       -1.3272103379155682       -0.40650140150522396       
Zeropoint     AB|PS|PS_i                5321.268054307796     All      1.1135243095593965         0.6707782073135604         3.1365427031076822        -0.004247476195466963      
Zeropoint     AB|PS|PS_r                4393.324989656955     All      -0.6502812760474536        0.1407791344471221         -2.151544825714225        0.16166083692890124        
Zeropoint     AB|PS|PS_g                3459.4959375671765    All      -0.4366716519200994        0.28599047102506603        0.36146737265880696       0.25152545700306905        
Check         All|All|All               All                   All      0.9956537163148916         1.000498661182192          0.019254912136696112      0.0024374162312793823      
Lambda        AB|PS|PS_z                6115.435420123895     All      -0.0001249415763705943     -7.891566322655832e-05     -0.0007752543451238612    -1.960388668988046e-05     
Lambda        AB|PS|PS_i                5321.268054307796     All      0.0002914716019294124      0.0001503122965273547      0.0003741929160986002     -2.9281718533078007e-05    
Lambda        AB|PS|PS_r                4393.324989656955     All      -0.00022183058920205123    -0.00010899329547156494    -0.0013573455123098127    -2.3817277347217613e-05    
Lambda        AB|PS|PS_g                3459.4959375671765    All      -0.0008456552165145559     0.0004964959728451697      0.0003740015362504194     0.00045387276867297496     
MWEBV         All|All|All               All                   All      -0.40280558569112745       -2.4922098960733052        0.24283997299753543       -0.6697508905802982        
Redshift      All|All|All               All                   All      2.2642800578968463         -0.27316687853691235       0.6816853460178998        -0.7961094605958653        
