#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6115.435420123895     All      1.081592838495988          -0.23771729653763174      -2.1831780489660724       -0.5271679243459192        
Zeropoint     AB|PS|PS_i                5321.268054307796     All      1.0543257796658358         0.6859705622403567        3.3843272746823194        0.03104156977394093        
Zeropoint     AB|PS|PS_r                4393.324989656955     All      -0.6827868442822305        0.2211956372336843        -1.7409522150539036       0.21676613291645927        
Zeropoint     AB|PS|PS_g                3459.4959375671765    All      -0.45789209573684153       0.3329777795833877        0.5648442070244064        0.28281873996175017        
Check         All|All|All               All                   All      0.9952396781427519         1.002426682519797         0.025041217686749828      0.003458518306231173       
Lambda        AB|PS|PS_z                6115.435420123895     All      -0.00034460014309023934    -0.0001422748594948754    -0.001517727769328665     -1.8252185024961518e-06    
Lambda        AB|PS|PS_i                5321.268054307796     All      0.0003261747280375903      0.00014580331061194148    0.0003391496876499438     -4.3618211797265966e-05    
Lambda        AB|PS|PS_r                4393.324989656955     All      -0.00030276163613255876    -0.0001270555757583233    -0.0018657507106739674    -2.6026640712735547e-05    
Lambda        AB|PS|PS_g                3459.4959375671765    All      -0.0008909022246390589     0.0005329772576487805     0.000493245461492799      0.0004858156711766622      
MWEBV         All|All|All               All                   All      -0.36804391239579237       -2.5085139999820427       0.2462937085993877        -0.6862305698723564        
Redshift      All|All|All               All                   All      2.363347250311202          -0.23930996045642416      1.7033494400116034        -0.7717584161192302        
