#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6842.546245666184    All      0.7264187334505682        -0.04074405470610998      0.5785713293846185        -0.22407117786025585      
Zeropoint     AB|PS|PS_g                3870.821832506266    All      -0.5987512031385123       0.46445895732833975       0.1041821488099677        0.350971698649452         
Zeropoint     AB|PS|PS_i                5953.954256040455    All      1.1801843084824448        0.04918623192491367       -0.6876827238285803       -0.3990914038182563       
Zeropoint     AB|PS|PS_r                4915.680952994121    All      -0.31169539424583337      0.5262661960143689        0.006611379218418535      0.27324669355476405       
Check         All|All|All               All                  All      0.9961564445486674        0.9991673305615123        0.0016821335844244287     0.0010558105257039152     
Lambda        AB|PS|PS_z                6842.546245666184    All      -0.000775894148699603     4.5985355238910046e-05    -0.000623467898826007     0.0002398906846251955     
Lambda        AB|PS|PS_g                3870.821832506266    All      -0.0007802837001157754    0.0005741327410948198     2.0504172843968883e-05    0.00044209300094143943    
Lambda        AB|PS|PS_i                5953.954256040455    All      -0.0001639066927016917    5.779560188794698e-05     0.0006719219270015098     0.000102200520712979      
Lambda        AB|PS|PS_r                4915.680952994121    All      -0.0001842349157587645    3.181533162576341e-05     -0.0007334599642992582    3.7643723868250665e-05    
MWEBV         All|All|All               All                  All      -0.48777619184163834      -3.0144585582553063       0.023964143196962925      -0.8219541624741642       
Redshift      All|All|All               All                  All      6.6536210295300195        0.4187380409687691        6.755143889234895         -1.7294554644091436       
