#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6842.546245666184    All      0.6761410136707192         -0.036706905953032276     0.46266860533426823       -0.2115512445253931       
Zeropoint     AB|PS|PS_g                3870.821832506266    All      -0.6071186321572142        0.4918521379106977        0.2695995662265499        0.3700019252902115        
Zeropoint     AB|PS|PS_i                5953.954256040455    All      1.186444081004896          0.018916223463527615      -0.7972620830555249       -0.4158803788012949       
Zeropoint     AB|PS|PS_r                4915.680952994121    All      -0.2598020083575605        0.5251901830920502        0.0658964762549702        0.25863843931483443       
Check         All|All|All               All                  All      0.9956644541608406         0.9992516385132433        0.0009025647602634024     0.0012087412783579055     
Lambda        AB|PS|PS_z                6842.546245666184    All      -0.0007471635825723656     2.3291064477354856e-05    -0.0006527538608593187    0.0002218330189289882     
Lambda        AB|PS|PS_g                3870.821832506266    All      -0.0007784666818889116     0.0005247411037283147     -9.500061232355736e-05    0.0004202582090322146     
Lambda        AB|PS|PS_i                5953.954256040455    All      -0.00021926758182869654    7.087148466714659e-05     0.0007857973241551368     0.00012957436478993383    
Lambda        AB|PS|PS_r                4915.680952994121    All      -0.00015479735809290096    -9.792544497329849e-06    -0.0007756008527526597    1.262133445226603e-05     
MWEBV         All|All|All               All                  All      -0.4891360120099386        -3.0117999091855197       0.031308012547931474      -0.8203174916796465       
Redshift      All|All|All               All                  All      6.703201092272778          0.8030429933127081        7.003873260790607         -1.6093249062644157       
