#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5673.314076974312    All      0.4183816394587085         0.5390221227841607        -0.28779948072196193       0.026453405363694935      
Zeropoint     AB|PS|PS_g                4467.415237443619    All      -0.8562260920255277        0.8111033542427037        0.027656332271619455       0.5443382292473757        
Zeropoint     AB|PS|PS_z                7897.158971279584    All      0.31426981859298775        -0.1338497060721977       -0.03902666152834078       -0.14770885253894728      
Zeropoint     AB|PS|PS_i                6871.612054863121    All      1.119860498375495          -0.21722838038478187      0.3025976636187644         -0.4220302927832268       
Check         All|All|All               All                  All      0.9962858644016636         0.9990473905698849        0.0034278536400811355      0.0010524892888965631     
Lambda        AB|PS|PS_r                5673.314076974312    All      -0.00014155144580075803    2.305772552312148e-05     -0.0009445058115171806     1.146966617134389e-05     
Lambda        AB|PS|PS_g                4467.415237443619    All      -0.0004639611972279899     0.0004139970047725569     -0.00036080668116294053    0.0002698787253033303     
Lambda        AB|PS|PS_z                7897.158971279584    All      -0.0002678778423709355     0.00014903941489443446    0.0004080176645281418      0.00015401162127222327    
Lambda        AB|PS|PS_i                6871.612054863121    All      -0.0010023847056251844     -4.569243212179852e-05    -0.0022310573989863785     0.00021206430288021243    
MWEBV         All|All|All               All                  All      -0.610684170954003         -3.7246929350967406       -0.006939165556862914      -1.0146447654149928       
Redshift      All|All|All               All                  All      8.003099978640142          0.20884961385387868       13.028609251094814         -1.9574367743929229       
