#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5673.314076974312    All      0.3723833246016437        0.5193860691116825         -0.31101967759814647      0.0340042503840693        
Zeropoint     AB|PS|PS_g                4467.415237443619    All      -0.8890241545962592       0.8578516299333927         0.023362840082089453      0.5700574897787942        
Zeropoint     AB|PS|PS_z                7897.158971279584    All      0.3486460481354377        -0.1348929519863873        0.019672636760736845      -0.1566266608747896       
Zeropoint     AB|PS|PS_i                6871.612054863121    All      1.1644926199560883        -0.24341742239677444       0.2692849227322894        -0.44658567033828644      
Check         All|All|All               All                  All      0.9964978380969107        0.9989273246619135         0.001300721976969177      0.0008494089497874668     
Lambda        AB|PS|PS_r                5673.314076974312    All      -6.713837872167021e-05    4.476596716601187e-05      -0.0007067441468526981    4.912181683668547e-06     
Lambda        AB|PS|PS_g                4467.415237443619    All      -0.0005411910840958787    0.0004960600740809943      -0.0003039603115056007    0.0003243024741044318     
Lambda        AB|PS|PS_z                7897.158971279584    All      -0.0003003517047187474    0.00015940870924402965     0.00027726830333457464    0.0001621323034265843     
Lambda        AB|PS|PS_i                6871.612054863121    All      -0.001008286314096222     -2.8852361949614077e-05    -0.0019629173669771407    0.00023143787389926374    
MWEBV         All|All|All               All                  All      -0.6129914741506464       -3.7252105408363434        -0.01168825631344244      -1.0142737321826185       
Redshift      All|All|All               All                  All      7.651320694191004         0.09521531736425004        9.997147807524764         -2.015145318304841        
