#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6198.754356228015     All      0.6884902104630448         0.06946877471296631        -0.024746908244486967      -0.20273998768064275       
Zeropoint     AB|PS|PS_r                4453.181261361391     All      -0.2823760777895152        0.26243533356193893        -2.278812377922457         0.07577007022022068        
Zeropoint     AB|PS|PS_g                3506.6293796154923    All      -0.6278647030667619        0.2979592759629668         0.5938450026523793         0.328071903711109          
Zeropoint     AB|PS|PS_i                5393.766962815735     All      1.2177380144143615         0.3684515784247111         1.717957309041615          -0.19997598848565115       
Check         All|All|All               All                   All      0.995987444021129          0.9983149626625831         0.008243025527049808       0.0011259977650357744      
Lambda        AB|PS|PS_z                6198.754356228015     All      -5.428316552853174e-05     -2.475918738613982e-05     -0.00034375267037161164    -5.7231718887683675e-06    
Lambda        AB|PS|PS_r                4453.181261361391     All      -0.00025258889200443287    -0.00016632392565261203    -0.0017566719474320835     -5.02928633375813e-05      
Lambda        AB|PS|PS_g                3506.6293796154923    All      -0.0011060012735472392     0.0003384281268133283      -0.000676650762142855      0.00044030236024332134     
Lambda        AB|PS|PS_i                5393.766962815735     All      0.0002212598197550102      6.316466925697934e-05      0.00018468536091029825     -4.325513226492508e-05     
MWEBV         All|All|All               All                   All      -0.46481886798611827       -2.547042909158037         0.3449273623496161         -0.6628563493583132        
Redshift      All|All|All               All                   All      3.1752999645417113         -0.46767730015719877       -5.744198055255773         -1.4429747225631764        
