#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3988.8234438069044    All      -0.7939858878104358        0.5438370833671158         0.19004907562168835       0.4442539721621247        
Zeropoint     AB|SDSS|SDSS_i            6320.703267921474     All      1.0442687437642582         0.031611452691571174       0.4823589402784616        -0.3083303310275367       
Zeropoint     AB|SDSS|SDSS_z            7514.789300250413     All      0.13979502109490705        -0.0006104763627945431     0.37854564435651467       -0.02884193621526355      
Zeropoint     AB|SDSS|SDSS_r            5212.199808803992     All      0.6751847370207272         0.39735744360740455        -1.118496110706743        -0.1404108340651943       
Zeropoint     AB|SDSS|SDSS_u            3033.4465770273964    All      -0.07268972627574205       0.027310304070482516       0.07451547758412672       0.03589858331441366       
Check         All|All|All               All                   All      0.9925728877937147         0.9995058073737795         0.006973027134048376      0.0025694541685438027     
Lambda        AB|SDSS|SDSS_g            3988.8234438069044    All      -0.0006457896463609772     0.0003546836204862267      -0.0002842753163450382    0.0003132011558657765     
Lambda        AB|SDSS|SDSS_i            6320.703267921474     All      -0.00036216394362234474    -2.135063384929082e-05     -0.000760909985028893     7.705818951924937e-05     
Lambda        AB|SDSS|SDSS_z            7514.789300250413     All      -1.9198389320547997e-05    -1.9620455910151453e-08    -6.275479219857412e-05    3.4466978284798663e-06    
Lambda        AB|SDSS|SDSS_r            5212.199808803992     All      6.262562736062882e-05      4.457650177360897e-05      -0.0020138429876157752    -9.574775729328374e-05    
Lambda        AB|SDSS|SDSS_u            3033.4465770273964    All      -7.235867901632406e-05     2.879052477744607e-05      0.00010721596149714562    3.7732179322110455e-05    
MWEBV         All|All|All               All                   All      -0.7170104822811543        -3.2376428612852948        0.20689967625980207       -0.8118199098881264       
Redshift      All|All|All               All                   All      5.282755292730242          -0.4404474756562138        -0.9672515331654595       -1.9073994229414082       
