#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3988.8234438069044    All      -0.9362254180686825        0.5855144637422427        -0.16933165339989564       0.4881242492818044         
Zeropoint     AB|SDSS|SDSS_i            6320.703267921474     All      1.1191934431854746         0.029877372416997616      0.5428023579918229         -0.33060330544742583       
Zeropoint     AB|SDSS|SDSS_z            7514.789300250413     All      0.16635604883656693        -0.0017078389845437414    0.3564237752259558         -0.038838381307867986      
Zeropoint     AB|SDSS|SDSS_r            5212.199808803992     All      0.697313471628755          0.36793820970615343       -0.7514147269723548        -0.1408205470742066        
Zeropoint     AB|SDSS|SDSS_u            3033.4465770273964    All      -0.05251860296541454       0.01771517307407322       0.021393940510705534       0.023832164784838572       
Check         All|All|All               All                   All      0.9941189426166995         0.9993373799549232        -0.00012630664376622747    0.001694180237142573       
Lambda        AB|SDSS|SDSS_g            3988.8234438069044    All      -0.0008359877631227921     0.0005298129786452046     3.506618457762659e-05      0.0004464510778681211      
Lambda        AB|SDSS|SDSS_i            6320.703267921474     All      -8.482780272363762e-05     -9.56523383849153e-06     -0.0002078630255524607     1.523952260080097e-05      
Lambda        AB|SDSS|SDSS_z            7514.789300250413     All      -2.2380991307028793e-05    8.320935276309357e-07     -6.467871266495815e-05     4.6749515308014535e-06     
Lambda        AB|SDSS|SDSS_r            5212.199808803992     All      0.00014019873797956089     7.609547819179424e-05     -0.002050099170155565      -0.00011236705084660558    
Lambda        AB|SDSS|SDSS_u            3033.4465770273964    All      -6.60252128227178e-05      2.186092729580832e-05     7.5406324768939144e-06     2.8963910999303125e-05     
MWEBV         All|All|All               All                   All      -0.6549563966261127        -3.269832887391466        0.05706211148193141        -0.8492048799649279        
Redshift      All|All|All               All                   All      5.1447507814545625         -0.9760737659334495       0.48645594968237393        -1.9720456294076636        
