#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4911.040599671597    All      -0.019278592899383273      0.5334725654087435        0.5915439833667713        0.20644712834833046       
Zeropoint     AB|PS|PS_g                3867.16781567256     All      -0.7721844374784473        0.44433442125502154       -0.33539080064104443      0.3812932635327837        
Zeropoint     AB|PS|PS_z                6836.08695090942     All      0.7141214001711828         0.009701511810256136      0.7264174033405624        -0.19703605996849172      
Zeropoint     AB|PS|PS_i                5948.333783174465    All      1.0732245628579657         0.011789473818701879      -0.9772481243492726       -0.3893544241287017       
Check         All|All|All               All                  All      0.9958829326513178         0.9992979722927231        0.005322461717016669      0.0013499077839207452     
Lambda        AB|PS|PS_r                4911.040599671597    All      -6.507181137123337e-05     -7.745030362366999e-05    -0.0006688089285919795    -3.387795292167356e-05    
Lambda        AB|PS|PS_g                3867.16781567256     All      -0.0008874594558305644     0.000330615995720382      -0.001310803444411242     0.0003382721106405884     
Lambda        AB|PS|PS_z                6836.08695090942     All      -0.0005859498060827871     2.1977660960134623e-05    -0.0003681309766287524    0.00018159398151295852    
Lambda        AB|PS|PS_i                5948.333783174465    All      -0.00027726906052749764    2.45232070042344e-05      0.0005268372403203417     0.00012181399656534818    
MWEBV         All|All|All               All                  All      -0.4872521149916129        -2.9973941218443656       0.08710327051186795       -0.8137488139389665       
Redshift      All|All|All               All                  All      6.093632675743127          0.958107856662771         5.269830183016843         -1.4376410697091362       
