#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4911.040599671597    All      -0.08521825434812325       0.5361570404582849        0.6398776404168995         0.23095717639854185       
Zeropoint     AB|PS|PS_g                3867.16781567256     All      -0.6938256766846622        0.4548099624782864        -0.19794060227722765       0.3653152366941266        
Zeropoint     AB|PS|PS_z                6836.08695090942     All      0.7231236553137315         -0.004559544084337119     0.6880151592963486         -0.206327401490055        
Zeropoint     AB|PS|PS_i                5948.333783174465    All      1.052363114566166          0.012622099912995566      -1.126712419757722         -0.3889578554267031       
Check         All|All|All               All                  All      0.9964428388471119         0.9990295587652298        0.0032397776782984167      0.0009871561759103309     
Lambda        AB|PS|PS_r                4911.040599671597    All      -5.1406883067303616e-05    2.8870806471207537e-05    -0.00028621039968351183    1.3376828919175906e-05    
Lambda        AB|PS|PS_g                3867.16781567256     All      -0.0009409773152607828     0.0004721691745774542     -0.0010184984564819242     0.00041485739456033013    
Lambda        AB|PS|PS_z                6836.08695090942     All      -0.0006135860279222751     2.2615024355526967e-05    -0.00045963063456769086    0.0001867204089061982     
Lambda        AB|PS|PS_i                5948.333783174465    All      -0.00016252737460761049    3.080638258860593e-05     0.0004948241113151646      8.505689265354852e-05     
MWEBV         All|All|All               All                  All      -0.4823338629099685        -3.0024847824885015       0.07604405855878833        -0.8175025679335437       
Redshift      All|All|All               All                  All      5.799803952738911          0.34453996287613364       4.758544398660165          -1.5646069730444085       
