#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4189.129720735371    All      -0.8991030651940437       0.7296424619745778        0.25695828599757164       0.5420028704724068         
Zeropoint     AB|PS|PS_r                5319.91036242227     All      0.327714742885721         0.47021014594150756       -0.49034653876892653      0.024533526789721066       
Zeropoint     AB|PS|PS_z                7405.226870043506    All      0.3970325396883776        -0.03623671661916461      0.42900538568186874       -0.12198551090199551       
Zeropoint     AB|PS|PS_i                6443.563617529935    All      1.171179212459432         -0.1664858242934386       -0.20607171101122423      -0.4449175443522503        
Check         All|All|All               All                  All      0.9968234298394867        0.9971300670034822        -0.010454578100710377     -0.0003666579921178803     
Lambda        AB|PS|PS_g                4189.129720735371    All      -0.0008377341112231659    0.0003817293101665612     -0.0013884265677508304    0.0003352602545953952      
Lambda        AB|PS|PS_r                5319.91036242227     All      0.00014730172603066223    1.3548552948204065e-05    -0.0016385114950403135    -0.00011668705143419581    
Lambda        AB|PS|PS_z                7405.226870043506    All      9.036774908492419e-05     -3.625362793502921e-05    -0.0001376252333991309    -4.7386330291737574e-05    
Lambda        AB|PS|PS_i                6443.563617529935    All      -0.000394890295079376     9.504392898409112e-06     -0.0007378771793418572    9.879658449770381e-05      
MWEBV         All|All|All               All                  All      -0.558584337209683        -3.3761894104273438       0.06863032290973792       -0.9147240126967514        
Redshift      All|All|All               All                  All      6.928985018911361         -0.10715217772343522      7.960659681681554         -1.9366536873760338        
