#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4189.129720735371    All      -0.8608435052729352       0.692080789103855         0.2074824063962754         0.5150975192355309         
Zeropoint     AB|PS|PS_r                5319.91036242227     All      0.2807975821467829        0.4655969439475882        -0.7291106474597128        0.027658372344894024       
Zeropoint     AB|PS|PS_z                7405.226870043506    All      0.3846296462720646        -0.012156235875160348     0.6563030989863763         -0.09995842266647928       
Zeropoint     AB|PS|PS_i                6443.563617529935    All      1.1920476613181072        -0.14611737679075532      -0.1282954296183812        -0.4416096130184302        
Check         All|All|All               All                  All      0.9966313844640194        0.9994041203855275        0.006379428304557677       0.001187855895515455       
Lambda        AB|PS|PS_g                4189.129720735371    All      -0.0007941540689724482    0.00037645375419888554    -0.001274801666950914      0.00032441693641663147     
Lambda        AB|PS|PS_r                5319.91036242227     All      7.661846873482296e-05     3.851521714180111e-05     -0.0018362567759059587     -9.435518888994732e-05     
Lambda        AB|PS|PS_z                7405.226870043506    All      8.201890983201848e-05     -3.422723621208047e-05    -0.00014701855115697285    -4.4425956857525806e-05    
Lambda        AB|PS|PS_i                6443.563617529935    All      -0.0004188757395341045    2.5224776204097312e-05    -0.000668434157461452      0.00011482900200846349     
MWEBV         All|All|All               All                  All      -0.5569637632861286       -3.375162684790922        0.08721280331930728        -0.9140881978664652        
Redshift      All|All|All               All                  All      7.019136731172845         -0.2498110555240629       7.726036711310674          -2.0229579013835006        
