#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5821.929400347535    All      0.30127415682414616        0.036879954886259725      -1.857853696518219        -0.1690293675442614        
Zeropoint     AB|PS|PS_g                3784.989010843054    All      -0.7217733100283237        0.5225213048454691        0.0908642491543099        0.4093625462566558         
Zeropoint     AB|PS|PS_r                4806.679096321631    All      0.17664144202533105        0.3531576798019742        0.6206232837596692        0.08519271259013611        
Zeropoint     AB|PS|PS_z                6690.817471509127    All      1.2403614384981854         0.08639594891057811       1.1507631930247508        -0.32453124825511936       
Check         All|All|All               All                  All      0.996503727319339          0.9989548884442812        0.004397029420510901      0.0009946430474111478      
Lambda        AB|PS|PS_i                5821.929400347535    All      3.057837509408892e-06      -7.426301247298377e-06    0.0005491017519510043     2.1088860345465902e-05     
Lambda        AB|PS|PS_g                3784.989010843054    All      -0.0008229749434452149     0.0005775337069665477     4.909458783198615e-05     0.00045838260877678985     
Lambda        AB|PS|PS_r                4806.679096321631    All      -2.3435384222902272e-05    1.2213345934539293e-05    -0.0004225692756553669    -7.2453617613497405e-06    
Lambda        AB|PS|PS_z                6690.817471509127    All      -0.0006909327860044373     -4.863736791780583e-05    5.868337573036786e-05     0.00021183551809827097     
MWEBV         All|All|All               All                  All      -0.4787320054432036        -2.899521476279432        0.023849296499922623      -0.7874664876924231        
Redshift      All|All|All               All                  All      4.3280794628115515         0.38044618322636836       1.0157787815490593        -1.2405444907208345        
