#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5821.929400347535    All      0.37566341493038824        0.056093349251895575      -1.399254469399885         -0.16653678436035083      
Zeropoint     AB|PS|PS_g                3784.989010843054    All      -0.6581392689553084        0.45827535429410204       0.027978667538756056       0.3649015311733616        
Zeropoint     AB|PS|PS_r                4806.679096321631    All      0.12296226027828405        0.4151661081170488        0.4330158908723217         0.11450391690171753       
Zeropoint     AB|PS|PS_z                6690.817471509127    All      1.1553178950458025         0.06888541131395698       0.9400720898281312         -0.3119357027444272       
Check         All|All|All               All                  All      0.9958043012991664         0.9984202229770034        0.0018121788393239413      0.0009329609703010999     
Lambda        AB|PS|PS_i                5821.929400347535    All      -3.523487268480847e-05     -1.068946651993754e-05    0.0005704674880935087      3.3452590238984246e-05    
Lambda        AB|PS|PS_g                3784.989010843054    All      -0.000751610805611149      0.0005257687340582353     -2.7984157717545124e-05    0.0004148357361765735     
Lambda        AB|PS|PS_r                4806.679096321631    All      -5.8368688545211055e-05    7.224020247085358e-06     -0.00038394238881455636    4.232117760489311e-06     
Lambda        AB|PS|PS_z                6690.817471509127    All      -0.0008750020967043242     -6.589389937988289e-05    -0.000595693065320297      0.00023697011315164843    
MWEBV         All|All|All               All                  All      -0.4849872457056752        -2.8978070013980783       0.02248076376765946        -0.7849315606046364       
Redshift      All|All|All               All                  All      4.956484738289922          0.4960742532819751        2.4663914433539063         -1.3428387157226263       
