#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3428.5141120457324    All      -0.4317791051657907       0.1331408070417872        1.2677953411252219        0.24058888402010858        
Zeropoint     VEGAHST|UVOT|UVOT_v       5339.310412254405     All      2.1575464494580516        0.3678846705065908        1.6814696174817234        -0.5079154532105749        
Zeropoint     VEGAHST|UVOT|UVOT_b       4297.551611552806     All      -0.7168977244877619       0.4949683972058416        -2.875970771390124        0.26640329837562104        
Check         All|All|All               All                   All      1.008869619804499         0.9959938747542196        0.07329418721682135       -0.0009232708148452229     
Lambda        VEGAHST|UVOT|UVOT_u       3428.5141120457324    All      0.0003484452229244239     -5.928835737161305e-05    0.004573417159506058      7.127836174472085e-05      
Lambda        VEGAHST|UVOT|UVOT_v       5339.310412254405     All      0.0007524706650564656     0.00014520785584673155    0.001230859761506532      -0.00014287785729098995    
Lambda        VEGAHST|UVOT|UVOT_b       4297.551611552806     All      -0.0005868704022901995    -6.90129698006636e-05     -0.0033749335569648307    1.8075418627151145e-05     
MWEBV         All|All|All               All                   All      -1.475719473400813        -3.8576253997453236       0.5382043717584661        -0.7518475333594792        
Redshift      All|All|All               All                   All      -2.032532077302288        -0.4563546384294348       -17.292478228870433       -0.2582710353362855        
