#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3428.5141120457324    All      -0.7156802341236933       0.17156475494504164       0.5492973806187398        0.31351750169820924        
Zeropoint     VEGAHST|UVOT|UVOT_v       5339.310412254405     All      2.0328383014253766        0.38781157809602007       1.1225160523701438        -0.4857465876725234        
Zeropoint     VEGAHST|UVOT|UVOT_b       4297.551611552806     All      -0.32054493798516914      0.4395684392741295        -1.632658155694385        0.17473589899972894        
Check         All|All|All               All                   All      0.9966131293165141        0.9989447723151912        0.039155277294498525      0.0025068130254148058      
Lambda        VEGAHST|UVOT|UVOT_u       3428.5141120457324    All      -0.0003569933964368589    -5.340125485771494e-05    0.0005176939530542272     0.00012199225183960036     
Lambda        VEGAHST|UVOT|UVOT_v       5339.310412254405     All      0.0008694588712344646     0.00012607244817215533    0.0004651643018292676     -0.0002213872683099999     
Lambda        VEGAHST|UVOT|UVOT_b       4297.551611552806     All      -0.0005217181441941845    -4.817252846639164e-05    -0.0037543077477296422    -1.3288125638816993e-05    
MWEBV         All|All|All               All                   All      -1.5415032534391875       -3.8547096871734077       0.4716030656226895        -0.7324419588742385        
Redshift      All|All|All               All                   All      0.42570786606170796       -0.33606248819637585      -1.1827257423474982       -0.30091328370022513       
