#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6576.3839352172345    All      0.895976191920146          0.05370556491470779        0.7788882538478621         -0.23959704763136191      
Zeropoint     AB|PS|PS_g                3720.254069383198     All      -0.678280710077913         0.42415975921663573        0.09414328519411722        0.363302312497115         
Zeropoint     AB|PS|PS_i                5722.356519730118     All      0.8760512246132891         0.09073660394669503        -1.0073639289369078        -0.3007568335279969       
Zeropoint     AB|PS|PS_r                4724.470115258463     All      -0.09777845607504398       0.43075194856569965        0.14247583716944762        0.17851778317034464       
Check         All|All|All               All                   All      0.995968250380478          0.9993538766437382         0.008143447274519044       0.0014662145081007771     
Lambda        AB|PS|PS_z                6576.3839352172345    All      -0.0006023808158994797     -6.401200730373425e-05     -0.0008245717885393911     0.00013856758096607454    
Lambda        AB|PS|PS_g                3720.254069383198     All      -0.0012669318815005394     0.0007430097422089683      -0.00010112034300022364    0.0006501915754783314     
Lambda        AB|PS|PS_i                5722.356519730118     All      -0.00023256803680306464    1.941377725525425e-05      0.000620706705678928       0.0001097780562659062     
Lambda        AB|PS|PS_r                4724.470115258463     All      -4.632146436194244e-05     -2.3014069428683675e-05    -0.0005186193971596216     -1.555161644221805e-05    
MWEBV         All|All|All               All                   All      -0.458300176594733         -2.8355935405890875        0.02376120784878026        -0.773302305706538        
Redshift      All|All|All               All                   All      5.540050715029389          -0.173253555026065         -2.28038985722922          -1.9627744887608656       
