#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6322.8713982535155    All      1.055869315914616         -0.08025401297029333       -0.2393027590411087        -0.38075172862330336      
Zeropoint     AB|PS|PS_g                4110.664543258599     All      -0.7433274691237816       0.5970029732978333         0.1776747812887891         0.4445185301166707        
Zeropoint     AB|PS|PS_r                5220.264913707278     All      0.16244354749177786       0.5474038706360318         -0.1487451454095387        0.11875642938864728       
Zeropoint     AB|PS|PS_z                7266.522060369642     All      0.5204631961265465        -0.0652141611087842        0.2111748801802371         -0.1813506184529766       
Check         All|All|All               All                   All      0.9954485904091587        0.9989386698547875         0.0008017570183788125      0.0011726124290380169     
Lambda        AB|PS|PS_i                6322.8713982535155    All      -0.000312458996390721     -2.1556710495269784e-05    -0.00048799231017686436    7.297958938150516e-05     
Lambda        AB|PS|PS_g                4110.664543258599     All      -0.0006178892547272559    0.0003513742890641843      -0.0007379626195197043     0.0002827891416668537     
Lambda        AB|PS|PS_r                5220.264913707278     All      -0.0001047205013752807    3.329177548564057e-05      -0.0011344027892083977     -5.668047316165874e-06    
Lambda        AB|PS|PS_z                7266.522060369642     All      -0.0001271611280785232    -2.5816843494523768e-05    -0.0005135854400732132     1.009220823907792e-05     
MWEBV         All|All|All               All                   All      -0.5310090397804728       -3.2887333186732093        0.03338254979278199        -0.896791814192549        
Redshift      All|All|All               All                   All      6.5749302346369936        0.20793626553050615        4.488526480184837          -1.8736370818635717       
