#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6322.8713982535155    All      1.1050985811521312         -0.06699295291987539       -0.03699587469795961      -0.3834397292852206       
Zeropoint     AB|PS|PS_g                4110.664543258599     All      -0.771100526883781         0.605733872471248          0.06309270510727288       0.4512957980308552        
Zeropoint     AB|PS|PS_r                5220.264913707278     All      0.11513917608729324        0.5259269106407061         -0.32315146635927583      0.11938631389647948       
Zeropoint     AB|PS|PS_z                7266.522060369642     All      0.5467054578318201         -0.06572448211237258       0.2980495831813789        -0.18618799578121947      
Check         All|All|All               All                   All      0.9958426881874637         0.9989433480797061         0.0009949472314163543     0.001054386860894596      
Lambda        AB|PS|PS_i                6322.8713982535155    All      -0.00031582483515096236    -2.587283657612747e-05     -0.0006149460401985148    6.700468764418188e-05     
Lambda        AB|PS|PS_g                4110.664543258599     All      -0.0006460020771363764     0.00039132538020104305     -0.0006374657669609893    0.00030944451050936934    
Lambda        AB|PS|PS_r                5220.264913707278     All      -9.252239502629093e-05     5.394842165587326e-05      -0.0011334541639517527    -2.870489830366757e-06    
Lambda        AB|PS|PS_z                7266.522060369642     All      -0.00013037125471229957    -2.3517806376578824e-05    -0.000518670463028597     1.1659802899284357e-05    
MWEBV         All|All|All               All                   All      -0.5286989343735393        -3.289827376934795         0.03677533696211048       -0.8977492577841847       
Redshift      All|All|All               All                   All      6.448079636921061          0.02935336029086244        4.419679522954568         -1.8935603198649584       
