#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6511.817004109006    All      0.8453689387801423         -0.11852367991416202      -0.3666791370316842       -0.33033474282333714      
Zeropoint     AB|PS|PS_g                4233.503037618807    All      -0.9960967367769917        0.702816650282756         -0.33723180707331196      0.5383428760556039        
Zeropoint     AB|PS|PS_z                7483.666665515031    All      0.46813430864249694        -0.0816639937719188       0.10497675905462311       -0.17440276430746984      
Zeropoint     AB|PS|PS_r                5376.261462540935    All      0.6804860731052521         0.49584827563791123       0.6015386423232434        -0.03329869819838977      
Check         All|All|All               All                  All      0.9978925837508996         0.9984772522345864        0.0026044572728702864     0.00030667072640718634    
Lambda        AB|PS|PS_i                6511.817004109006    All      -0.0002893855041242503     6.956491055542589e-05     3.5707985241843915e-05    0.00011851544255954684    
Lambda        AB|PS|PS_g                4233.503037618807    All      -0.0007002137661370948     0.00036179869807347845    -0.0009277977380544916    0.0003045290469371687     
Lambda        AB|PS|PS_z                7483.666665515031    All      -0.00013626825682543783    -3.519623588178549e-05    -0.00059762664496456      6.2531500272011735e-06    
Lambda        AB|PS|PS_r                5376.261462540935    All      0.0001291863311492022      8.557676652407998e-05     -0.0008400979962904277    -5.169478505436835e-05    
MWEBV         All|All|All               All                  All      -0.5448565569942159        -3.4378548976803813       0.031449516693560046      -0.9409412888922306       
Redshift      All|All|All               All                  All      5.147700635802464          -0.3616655435664029       -1.9796160125596067       -1.8829229879770468       
