#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6511.817004109006    All      0.8533675372810099        -0.137498049030782         -0.47976665318270606      -0.3441673022142745        
Zeropoint     AB|PS|PS_g                4233.503037618807    All      -0.9780127828946401       0.7159623253862435         -0.2657221862294723       0.5399254621392332         
Zeropoint     AB|PS|PS_z                7483.666665515031    All      0.45622806280625133       -0.08780292283674385       0.08237138383779818       -0.17353293356912602       
Zeropoint     AB|PS|PS_r                5376.261462540935    All      0.6661088408662398        0.5075777780680468         0.658035289008424         -0.022273689968742294      
Check         All|All|All               All                  All      0.997691658058861         0.9982391315867645         -0.00508216656595617      -4.846361290961054e-05     
Lambda        AB|PS|PS_i                6511.817004109006    All      -0.0002607018849758083    7.739464920694382e-05      2.9110254023820964e-05    0.00011142822116743179     
Lambda        AB|PS|PS_g                4233.503037618807    All      -0.0007678347344432519    0.00043091759826709185     -0.0008985490168026352    0.0003503749568105481      
Lambda        AB|PS|PS_z                7483.666665515031    All      -8.653067247362313e-05    -2.0039274750349376e-05    -0.0003456062771874735    6.235614901820809e-06      
Lambda        AB|PS|PS_r                5376.261462540935    All      0.0001566071215409763     0.00011731624214204073     -0.0007956650594305913    -4.8305209296718756e-05    
MWEBV         All|All|All               All                  All      -0.5384101783994097       -3.4403048736280084        0.034053582760568135      -0.9437229167395443        
Redshift      All|All|All               All                  All      4.763512378562313         -0.8017387658725283        -3.700044573370148        -1.977901384686173         
