#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5481.990205270447    All      0.8314485000546393        0.345678428928764          -0.48573289094822475      -0.1799073215588867       
Zeropoint     AB|SDSS|SDSS_g            4195.290252028958    All      -0.7613397187006625       0.5989703346008568         -0.3591560215911693       0.4270702535320942        
Zeropoint     AB|SDSS|SDSS_i            6647.87127819594     All      0.8929277923924903        -0.005915792051958135      0.5766091924490536        -0.26705150654036747      
Zeropoint     AB|SDSS|SDSS_u            3190.461807582003    All      -0.10617959977347453      0.07026388312674214        0.17889335857148514       0.06545663616433556       
Zeropoint     AB|SDSS|SDSS_z            7903.764792182226    All      0.1367495782113937        -0.008288929465827266      0.10021959920923162       -0.04277147315490431      
Check         All|All|All               All                  All      0.9936065521843861        1.0007079251385775         0.010833237690376252      0.0027965884422712986     
Lambda        AB|SDSS|SDSS_r            5481.990205270447    All      5.29670415293811e-05      6.045061847910908e-06      -0.001310295340310617     -7.375649553877029e-05    
Lambda        AB|SDSS|SDSS_g            4195.290252028958    All      -0.0006406286660889932    0.000292126563459388       -0.00130072101079903      0.0002457838602830339     
Lambda        AB|SDSS|SDSS_i            6647.87127819594     All      -0.0004327636327124785    -1.2787761013722637e-05    -0.0006868011086145566    0.00010615117909399402    
Lambda        AB|SDSS|SDSS_u            3190.461807582003    All      -6.611555949290899e-05    4.733511993690464e-05      0.00015149472596294586    4.3715132536396494e-05    
Lambda        AB|SDSS|SDSS_z            7903.764792182226    All      1.2512000730539657e-05    6.732995554667535e-07      3.8048246369387814e-05    -2.158335968230219e-06    
MWEBV         All|All|All               All                  All      -0.7900217475311293       -3.4372760145416237        0.2993410698393768        -0.8489395897206841       
Redshift      All|All|All               All                  All      3.1152916221230225        -0.22588984097975384       2.288537232340925         -0.9862058183296644       
