#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5481.990205270447    All      0.7613345442801063         0.32775138997926945        -0.41754118901025095      -0.15986524338607205      
Zeropoint     AB|SDSS|SDSS_g            4195.290252028958    All      -0.7662364823552938        0.5878972440283903         -0.7811307696160341       0.40622762571540305       
Zeropoint     AB|SDSS|SDSS_i            6647.87127819594     All      0.9222880546807174         0.028968239526427908       0.8910446220398827        -0.2512204240830051       
Zeropoint     AB|SDSS|SDSS_u            3190.461807582003    All      -0.10254913934916786       0.05883152327594843        0.09401193284310772       0.05676231186469774       
Zeropoint     AB|SDSS|SDSS_z            7903.764792182226    All      0.17879060215210119        -0.0033317913025854295     0.22142548933750117       -0.04944205257832214      
Check         All|All|All               All                  All      0.9936275794084634         1.0001166055074506         0.007810085594206484      0.0024622175327014967     
Lambda        AB|SDSS|SDSS_r            5481.990205270447    All      1.443354003981151e-05      2.9055398073572964e-05     -0.0010889281292597714    -4.383104093642581e-05    
Lambda        AB|SDSS|SDSS_g            4195.290252028958    All      -0.0007171071541116305     0.0003742937360008942      -0.0014516579952651156    0.0002907243468277537     
Lambda        AB|SDSS|SDSS_i            6647.87127819594     All      -0.00036003495398953837    -1.8486633225092813e-05    -0.0004988443767851112    8.899239125240565e-05     
Lambda        AB|SDSS|SDSS_u            3190.461807582003    All      -9.608016509695378e-05     6.055396485057885e-05      0.0001393847374524512     5.7240989895282884e-05    
Lambda        AB|SDSS|SDSS_z            7903.764792182226    All      4.234849605406778e-06      1.72022794816566e-06       3.3747823182118133e-05    6.869153481137024e-07     
MWEBV         All|All|All               All                  All      -0.8136485637573942        -3.4321620484533355        0.27234577004731086       -0.840782447621974        
Redshift      All|All|All               All                  All      2.301237135446837          -0.5463666441029247        0.39538271286156945       -0.9099141198331357       
