#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6721.870151605859    All      0.7391232935592756         -0.021803022550415108      0.11634942185570159       -0.24266659456529632      
Zeropoint     AB|PS|PS_i                5848.949493480336    All      0.8996669954143184         0.07920763191897606        -0.5668441121712615       -0.2925462563071027       
Zeropoint     AB|PS|PS_r                4828.987322325599    All      0.14650920501795023        0.5301920979061236         0.7909000443118313        0.1602723775110405        
Zeropoint     AB|PS|PS_g                3802.555482118625    All      -0.7899760188991881        0.41087392254546273        -0.3410194210457547       0.37593820220240476       
Check         All|All|All               All                  All      0.9953234750923561         0.9984706298201473         -0.0006140670494834133    0.0009977288410462637     
Lambda        AB|PS|PS_z                6721.870151605859    All      -0.0008133684933073081     5.769346062722779e-06      -0.0002908350044476025    0.0002538415126256382     
Lambda        AB|PS|PS_i                5848.949493480336    All      -8.747282720777546e-05     5.709319953099073e-06      0.000762437437728168      6.43765720291966e-05      
Lambda        AB|PS|PS_r                4828.987322325599    All      -0.00022313905437682403    -3.0253489498925517e-06    -0.0009537739710679982    2.9135723580005112e-05    
Lambda        AB|PS|PS_g                3802.555482118625    All      -0.0010651590274799515     0.0005340306070319284      -0.000594243496676615     0.0004943903177417536     
MWEBV         All|All|All               All                  All      -0.4885124420525466        -2.9285372022819445        -0.0015287428141727575    -0.7948645596074722       
Redshift      All|All|All               All                  All      4.253329465941061          0.25674758513964946        1.992488209744176         -1.2129026045819085       
