#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6721.870151605859    All      0.8388867663986878         -0.016602684757138775      0.1392468774085165        -0.2724471104074462       
Zeropoint     AB|PS|PS_i                5848.949493480336    All      0.7751690785720438         0.05104601342686976        -0.8008047791715711       -0.2716069445901236       
Zeropoint     AB|PS|PS_r                4828.987322325599    All      0.1568959749505151         0.5149280746675089         0.6310034468345105        0.14478161952225466       
Zeropoint     AB|PS|PS_g                3802.555482118625    All      -0.7754259779899921        0.449263471674044          0.030602836937176914      0.40028730890046565       
Check         All|All|All               All                  All      0.9955258419312544         0.9986348750112839         4.838200863277464e-05     0.0010148734251505531     
Lambda        AB|PS|PS_z                6721.870151605859    All      -0.0009107622866108037     -3.7784621601756584e-06    -0.0005290348601547517    0.00027182607446561143    
Lambda        AB|PS|PS_i                5848.949493480336    All      -8.249479470983372e-05     5.321585972752899e-06      0.0008034535918806047     6.44591279381855e-05      
Lambda        AB|PS|PS_r                4828.987322325599    All      -0.00014186834598424144    -2.3936408802370552e-05    -0.0007239307360253793    6.108607930421475e-06     
Lambda        AB|PS|PS_g                3802.555482118625    All      -0.0013301120212280972     0.0005304919532987545      -0.001184333874467878     0.0005532085451872158     
MWEBV         All|All|All               All                  All      -0.48195932744881276       -2.9263636300155937        0.028069987519496742      -0.7949702652366809       
Redshift      All|All|All               All                  All      4.093119491355529          0.263240165405243          1.534506083300513         -1.1790397369830998       
