#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7410.278615158228    All      0.48779153160770555        -0.06902283731573533     0.8936201880642702        -0.14149459386274785      
Zeropoint     AB|PS|PS_r                5323.539532960291    All      0.22362603021791652        0.32153554674749785      -1.1380450576962797       -0.018893373411989905     
Zeropoint     AB|PS|PS_i                6447.959329045261    All      1.1128228099089916         0.01604565231225763      -0.15446871646858096      -0.36414963249281096      
Zeropoint     AB|PS|PS_g                4191.987488089842    All      -0.8293655649688999        0.7306088794862831       0.38867264062818485       0.525479673036236         
Check         All|All|All               All                  All      0.9948748067657138         0.9991672412303032       -0.010220945472405596     0.0009420732686872269     
Lambda        AB|PS|PS_z                7410.278615158228    All      -0.0001637049232593824     6.88087160466147e-06     -0.0006986448247344591    2.4388095724893467e-05    
Lambda        AB|PS|PS_r                5323.539532960291    All      -1.2343016283821378e-05    7.18247806908283e-05     -0.001470591106461483     -3.820950638780896e-05    
Lambda        AB|PS|PS_i                6447.959329045261    All      -0.0003176029095815369     8.398818048729806e-06    -0.0007711994755279682    7.177439722571175e-05     
Lambda        AB|PS|PS_g                4191.987488089842    All      -0.000726440060515902      0.0004767278279397443    -0.000600537073302518     0.00036511215290332293    
MWEBV         All|All|All               All                  All      -0.5386713773563816        -3.391894235919146       0.11458889044175802       -0.9242749773850957       
Redshift      All|All|All               All                  All      6.533074603787118          -0.3424798000118301      5.028102729308747         -2.0152131367699186       
