#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7410.278615158228    All      0.49208757368974204        -0.08548425274703675      0.8591822613749477        -0.14979278717537817      
Zeropoint     AB|PS|PS_r                5323.539532960291    All      0.3059788320024652         0.405890637385653         -0.8249004898649367       -0.004266958217690059     
Zeropoint     AB|PS|PS_i                6447.959329045261    All      1.0518448750061573         -0.0323001012525026       -0.3635961883961413       -0.3693673140289679       
Zeropoint     AB|PS|PS_g                4191.987488089842    All      -0.8530821910466503        0.7104431461186778        0.3361902847386829        0.524294269112224         
Check         All|All|All               All                  All      0.9968290896517141         0.9985494295047914        0.0068758678525526196     0.0008672096901879423     
Lambda        AB|PS|PS_z                7410.278615158228    All      -0.00019663541415815565    1.9417595456820837e-06    -0.0009420482884390214    2.2643830028564106e-05    
Lambda        AB|PS|PS_r                5323.539532960291    All      -1.6915831092264205e-05    7.289926621457574e-05     -0.0015569527488378835    -4.022391833353424e-05    
Lambda        AB|PS|PS_i                6447.959329045261    All      -0.0004001276585048606     8.404386657788428e-06     -0.0007513535010296275    9.954287150540394e-05     
Lambda        AB|PS|PS_g                4191.987488089842    All      -0.000675145837771888      0.00040253722875202374    -0.0005065983127246493    0.00032842967351160747    
MWEBV         All|All|All               All                  All      -0.5430871236719477        -3.3906466465241536       0.10223919883543225       -0.9229813526422644       
Redshift      All|All|All               All                  All      6.879319616768369          -0.3874153196184338       4.964467146320582         -2.145473269492144        
