#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4235.691648529173    All      -0.9268561454517368       0.3692348112814159        -1.7913027105715074       0.34224185191689127        
Zeropoint     AB|PS|PS_r                5379.040849821242    All      0.4058410713187153        1.1398027045576242        3.2494384621052586        0.3840829649991301         
Zeropoint     AB|PS|PS_i                6515.183444055987    All      1.014912452243141         -0.5360424914226058       -1.8689455985363868       -0.5885995083600104        
Zeropoint     AB|PS|PS_z                7487.535526448435    All      0.5047917509735163        0.0232831049618909        0.417237464698772         -0.13822381542276663       
Check         All|All|All               All                  All      0.9986891290836358        0.9962781293783252        0.006427617696136423      -0.0004985068667556769     
Lambda        AB|PS|PS_g                4235.691648529173    All      -0.0008056696955592655    5.550023241650446e-05     -0.0025447229765061604    0.00016695207823922673     
Lambda        AB|PS|PS_r                5379.040849821242    All      0.00011508594397751127    0.00019341253841332053    0.0005471219134337363     4.992908683264858e-05      
Lambda        AB|PS|PS_i                6515.183444055987    All      -0.0003873642522835814    0.000253870371510218      0.0006715028283163919     0.00023883730008897235     
Lambda        AB|PS|PS_z                7487.535526448435    All      6.376374658324318e-05     -9.948305151553723e-06    1.6671419426915166e-05    -2.3266471424530788e-05    
MWEBV         All|All|All               All                  All      -0.5489083857784971       -3.4222136133818637       0.0825057814858754        -0.9322481874722482        
Redshift      All|All|All               All                  All      5.709558755523271         -1.7761363856958923       -11.904977516276038       -2.9696016485175836        
