#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4235.691648529173    All      -0.9779343254010527       0.5994823831152019        -1.029682096083232        0.4678665346426228        
Zeropoint     AB|PS|PS_r                5379.040849821242    All      0.6385484513777603        0.8307879086036252        2.7326046355288147        0.18456231019326141       
Zeropoint     AB|PS|PS_i                6515.183444055987    All      0.8247383620264332        -0.5675507350646924       -2.8451461351903498       -0.5804801686033237       
Zeropoint     AB|PS|PS_z                7487.535526448435    All      0.5167499451406246        0.14168256431190684       1.1891277651141479        -0.06910647459546562      
Check         All|All|All               All                  All      1.0021024331437656        1.0044021209660414        0.0469041693693808        0.0028422016370947822     
Lambda        AB|PS|PS_g                4235.691648529173    All      -0.0008592067457344471    0.00011763911821503438    -0.0026429621984727925    0.00020024757093117554    
Lambda        AB|PS|PS_r                5379.040849821242    All      0.00022870346622209497    0.000286145082519239      0.001150685614345103      7.006043826137563e-05     
Lambda        AB|PS|PS_i                6515.183444055987    All      -0.0003228899307951968    0.0002147600611275691     0.0008614247014327862     0.00021357171857298295    
Lambda        AB|PS|PS_z                7487.535526448435    All      -3.904744842993784e-05    3.9399036308575616e-06    1.844500806786405e-05     1.4825510803287549e-05    
MWEBV         All|All|All               All                  All      -0.5384377953402315       -3.4012128966136146       0.2282207839081087        -0.9223155875824014       
Redshift      All|All|All               All                  All      4.676537793287446         -2.5086755759627266       -17.88072598536064        -3.1383950583858566       
