#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5011.571654734313    All      0.1691792077089751         0.303891954389357          -1.6826529308163383       -0.031208698645425557     
Zeropoint     AB|PS|PS_i                6070.098663539679    All      0.5971277843859839         0.03509986727650016        -0.3431334723577339       -0.19838345368810859      
Zeropoint     AB|PS|PS_g                3946.330358258777    All      -0.7263316012726715        0.6056528716660736         0.8202455496277915        0.47047495545203666       
Zeropoint     AB|PS|PS_z                6976.024509910937    All      0.956668561303021          0.05385371667738781        1.2115307850226267        -0.24001144204479916      
Check         All|All|All               All                  All      0.9966439521253087         0.9984984100093186         0.0059899314763463        0.0008713610737033639     
Lambda        AB|PS|PS_r                5011.571654734313    All      -0.0002118282268996399     -9.541888755917752e-05     -0.0021231434727355955    -5.682779036622614e-05    
Lambda        AB|PS|PS_i                6070.098663539679    All      -5.9223138628633636e-05    -8.720433980612656e-06     -9.812379306382119e-05    1.2071578175334683e-05    
Lambda        AB|PS|PS_g                3946.330358258777    All      -0.0006434441771319538     0.00046330951424023304     0.00017113243212429108    0.0003681429428577247     
Lambda        AB|PS|PS_z                6976.024509910937    All      -0.000636472956255971      -4.4403117521028473e-05    -0.001008659398338912     0.00014784478865228392    
MWEBV         All|All|All               All                  All      -0.47954603942687646       -3.092458640659146         0.07811495518807636       -0.8476256848115645       
Redshift      All|All|All               All                  All      7.058654802227654          0.344408990576639          7.447337523930214         -1.8547102836718488       
