#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5011.571654734313    All      0.12451030737570479       0.2895663077106647        -2.068777158457369        -0.0385558535419217        
Zeropoint     AB|PS|PS_i                6070.098663539679    All      0.5758916249713678        0.03109645626597768       -0.39335028207883593      -0.19501112617270056       
Zeropoint     AB|PS|PS_g                3946.330358258777    All      -0.6617046259285749       0.6222197740223478        1.222705652717121         0.47278015451894734        
Zeropoint     AB|PS|PS_z                6976.024509910937    All      0.9585250284261005        0.0554486371056484        1.2464159003920727        -0.2385398739305336        
Check         All|All|All               All                  All      0.9972223348445983        0.9983311751046386        0.006994112572989097      0.0006733008737914714      
Lambda        AB|PS|PS_r                5011.571654734313    All      -0.0002357097097594052    -8.537539777251233e-05    -0.0022683030088435545    -5.2255114079698406e-05    
Lambda        AB|PS|PS_i                6070.098663539679    All      -4.430435115325184e-05    -7.809733879256021e-06    -9.129264875690971e-06    1.148010032118116e-05      
Lambda        AB|PS|PS_g                3946.330358258777    All      -0.0006585145553139767    0.0005017038959855639     0.0002846767611047748     0.0003906251360165781      
Lambda        AB|PS|PS_z                6976.024509910937    All      -0.0006240175589580599    -4.828547298602305e-05    -0.0010747338197113325    0.00013957444712429454     
MWEBV         All|All|All               All                  All      -0.47747510416378036      -3.0942685404491854       0.07949975569211398       -0.8488280031777151        
Redshift      All|All|All               All                  All      7.023120201412801         0.21343985810720056       7.635170616575793         -1.877414322095999         
