#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4505.242700658537     All      -0.3579938091015289       0.4974090279047161         0.5042363595782992        0.30113459878451854       
Zeropoint     AB|PS|PS_z                6271.223015079782     All      0.7514417679214074        -0.0799893661502793        -0.6353573411905435       -0.29917755368559973      
Zeropoint     AB|PS|PS_g                3547.6248302539934    All      -0.601346216578704        0.2227243321765826         -0.47998711582941933      0.247007268366989         
Zeropoint     AB|PS|PS_i                5456.824641099357     All      1.2016568845176485        0.35888701725141914        0.6104390054339605        -0.2472767829061162       
Check         All|All|All               All                   All      0.993758626758823         0.9990310111824385         -0.0006690920077032647    0.0016875305597915946     
Lambda        AB|PS|PS_r                4505.242700658537     All      -5.388250774417976e-05    -0.00017334844940857088    -0.001040045244064912     -8.532643000041829e-05    
Lambda        AB|PS|PS_z                6271.223015079782     All      7.434529738803474e-05     -0.00012547332714501       -0.0015936758119646515    -0.0001362059318476228    
Lambda        AB|PS|PS_g                3547.6248302539934    All      -0.0012254970033280614    0.0004077473524549847      -0.00133450076549713      0.0004724487787980259     
Lambda        AB|PS|PS_i                5456.824641099357     All      0.0001418412867574364     -1.998732024651085e-05     -0.0009316929422328462    -9.429007820516196e-05    
MWEBV         All|All|All               All                   All      -0.43727448161818705      -2.6372993166997816        -0.04130180630407201      -0.7184635773763037       
Redshift      All|All|All               All                   All      3.292288772904542         -0.0033783561896427727     1.5940921552282927        -1.0023701966866152       
