#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4068.7363986105543    All      -0.936055435196942         0.4902118352621443         -0.9732309902586207       0.4211513435809952         
Zeropoint     AB|SDSS|SDSS_z            7665.342220471099     All      0.11182202384987448        0.0073576760014404385      0.1373613640218493        -0.027897668070827587      
Zeropoint     AB|SDSS|SDSS_i            6447.333609347321     All      0.9871215157195965         -0.032628968565440175      -0.17520642350127374      -0.33998493951293524       
Zeropoint     AB|SDSS|SDSS_u            3094.2193042800022    All      -0.04856861461439521       0.06011565640644534        0.23186797206993037       0.04574924534020229        
Zeropoint     AB|SDSS|SDSS_r            5316.622151285769     All      0.8810752424546401         0.4764432999488477         0.7952587384806808        -0.09631319066252086       
Check         All|All|All               All                   All      0.9953947322127739         1.0014994990534376         0.01605066081256612       0.00270479067491379        
Lambda        AB|SDSS|SDSS_g            4068.7363986105543    All      -0.0008940084227885347     0.0003303437980548626      -0.001472333198206061     0.0003331083298661782      
Lambda        AB|SDSS|SDSS_z            7665.342220471099     All      -2.4235175326899204e-06    1.9681796178845154e-07     1.876801656125457e-06     9.372825151034396e-07      
Lambda        AB|SDSS|SDSS_i            6447.333609347321     All      -0.0002963918570708429     -4.0878609540887434e-05    -0.0004710460665180948    6.220844834429202e-05      
Lambda        AB|SDSS|SDSS_u            3094.2193042800022    All      -3.7704532841611264e-05    5.061308207193016e-05      0.00020692275253758242    3.800196482449193e-05      
Lambda        AB|SDSS|SDSS_r            5316.622151285769     All      0.00022810005679657817     4.4694153590110746e-05     -0.001048322406252011     -0.00010652315076970454    
MWEBV         All|All|All               All                   All      -0.6795688218866749        -3.281137875710094         0.47126598442697626       -0.8263861934713105        
Redshift      All|All|All               All                   All      7.505183365078116          -0.28286375134420894       5.83354282264007          -2.27649894127708          
