#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4068.7363986105543    All      -0.8846704701511239        0.5023712200014074        -0.8159593446060875       0.41539259281482           
Zeropoint     AB|SDSS|SDSS_z            7665.342220471099     All      0.13174376850450814        0.002560596148448724      0.12522078487989807       -0.03649118072557439       
Zeropoint     AB|SDSS|SDSS_i            6447.333609347321     All      1.0424391190738265         -0.06160897272220467      -0.21406490259551214      -0.36917751903961443       
Zeropoint     AB|SDSS|SDSS_u            3094.2193042800022    All      -0.047724730057078515      0.05342208563963169       0.17019049747853954       0.04054166574959939        
Zeropoint     AB|SDSS|SDSS_r            5316.622151285769     All      0.7519532643747372         0.5044795907828359        0.7459424740955956        -0.047322330501890775      
Check         All|All|All               All                   All      0.9937409517448692         1.001224519850119         0.011329509252433478      0.002943228297339784       
Lambda        AB|SDSS|SDSS_g            4068.7363986105543    All      -0.0009650410502719978     0.0004108818557772784     -0.0014303948461740418    0.0003843514046004666      
Lambda        AB|SDSS|SDSS_z            7665.342220471099     All      -5.682739612303985e-07     4.826802091797204e-07     6.265395441557742e-06     6.219261713040814e-07      
Lambda        AB|SDSS|SDSS_i            6447.333609347321     All      -0.00020100318448636743    -5.772689376355717e-05    -0.0005806581112789273    2.0757696898240133e-05     
Lambda        AB|SDSS|SDSS_u            3094.2193042800022    All      -4.27881150011927e-05      5.1062933045933735e-05    0.0001764907588425165     3.844634593112417e-05      
Lambda        AB|SDSS|SDSS_r            5316.622151285769     All      0.00022127220856582564     6.052244313470532e-05     -0.0012840230479775742    -0.00010966153843780066    
MWEBV         All|All|All               All                   All      -0.6667205850313955        -3.293033396143308        0.40662690193437045       -0.8373305946406853        
Redshift      All|All|All               All                   All      7.591262742398195          -0.5404069278570844       6.932368938869226         -2.3393925490652103        
