#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3211.583140964048    All      -0.08002529662642291      0.05837344823085289       0.17725438860281512        0.05299107364686042       
Zeropoint     AB|SDSS|SDSS_z            7956.088894841042    All      0.09471898559341385       -0.003171877868624051     0.07963389345470989        -0.028332579823694675     
Zeropoint     AB|SDSS|SDSS_i            6691.88117833454     All      0.8878497384475458        -0.01435883805598337      0.4366241823804809         -0.27439448323042454      
Zeropoint     AB|SDSS|SDSS_g            4223.063699696305    All      -0.8724228760950847       0.6671516638199648        -0.369956456348745         0.4849806206499256        
Zeropoint     AB|SDSS|SDSS_r            5518.281798684122    All      0.9637152282679571        0.2930448635403593        -0.31260271146966073       -0.23240942547196786      
Check         All|All|All               All                  All      0.9938357795874091        1.0010392596665696        0.010953296619600206       0.0028352057706989287     
Lambda        AB|SDSS|SDSS_u            3211.583140964048    All      -5.735558623391488e-05    4.332996776366033e-05     0.0001367888521602272      3.890085561678383e-05     
Lambda        AB|SDSS|SDSS_z            7956.088894841042    All      8.406254607123068e-06     -1.597635086821753e-07    1.8514864189382333e-05     -1.964000560866405e-06    
Lambda        AB|SDSS|SDSS_i            6691.88117833454     All      -0.0004786660449975419    1.0324200897815458e-05    -0.00032713186040532325    0.00014468181792176812    
Lambda        AB|SDSS|SDSS_g            4223.063699696305    All      -0.000615695887271963     0.0002538465752773978     -0.001555144362325399      0.00021383963677875606    
Lambda        AB|SDSS|SDSS_r            5518.281798684122    All      0.00015194348276314397    5.354605445154383e-05     0.00034393673600856793     -1.670296269655581e-05    
MWEBV         All|All|All               All                  All      -0.7619426516892052       -3.4919161215587025       0.2817167189141486         -0.8766704493088792       
Redshift      All|All|All               All                  All      2.1171237533962444        -0.14560215134746812      -5.979409997886444         -1.0038778744150345       
