#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3211.583140964048    All      -0.07491082818775537      0.054410722893294405      0.1692894494984054         0.04967889435255092       
Zeropoint     AB|SDSS|SDSS_z            7956.088894841042    All      0.10300800206355447       -0.0026438919542570716    0.07988651532546964        -0.03084932945218964      
Zeropoint     AB|SDSS|SDSS_i            6691.88117833454     All      0.8448510288360566        -0.003982085670983793     0.4035021552464685         -0.2584864232046496       
Zeropoint     AB|SDSS|SDSS_g            4223.063699696305    All      -0.8354480470927759       0.644179403353462         -0.4198539577672855        0.4632271850918957        
Zeropoint     AB|SDSS|SDSS_r            5518.281798684122    All      0.9559355227746669        0.308662962164874         -0.2255372403213357        -0.2209026588058032       
Check         All|All|All               All                  All      0.9934356783937467        1.0006271107863896        0.007286921981722316       0.002667667981804178      
Lambda        AB|SDSS|SDSS_u            3211.583140964048    All      -5.615677000910102e-05    4.701757162098448e-05     0.00016317086651025978     4.0888843759606216e-05    
Lambda        AB|SDSS|SDSS_z            7956.088894841042    All      7.812556310723384e-06     2.337943416193186e-07     1.9393789600834666e-05     -1.603196349768637e-06    
Lambda        AB|SDSS|SDSS_i            6691.88117833454     All      -0.0004720556813145586    7.042770633071383e-06     -0.00029682984137960984    0.00014281197513961677    
Lambda        AB|SDSS|SDSS_g            4223.063699696305    All      -0.0006068443069558691    0.0002212219728214354     -0.0016961073942600427     0.00019403894682855984    
Lambda        AB|SDSS|SDSS_r            5518.281798684122    All      0.00013985440326771677    5.114532752322962e-05     0.00038539136091309277     -1.169721801283174e-05    
MWEBV         All|All|All               All                  All      -0.7961304857120406       -3.472037908571579        0.3224249118140454         -0.8572427393944673       
Redshift      All|All|All               All                  All      2.070775100286522         -0.07344378394691375      -6.137672654729006         -0.9723387745704591       
