#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|PS|PS_z                6681.557536518572    All      1.4756018439403604        -0.2649760904720466       0.15026994484514944        -0.560257639077727       
Zeropoint     AB|PS|PS_r                4800.026764802809    All      -0.7671584312499958       0.8295521179761067        -0.06051274555178843       0.5174007501907191       
Zeropoint     AB|PS|PS_i                5813.871986138228    All      0.521265847444811         0.22116519752959363       -0.03367433667384456       -0.09925538568062997     
Zeropoint     AB|PS|PS_g                3779.750674521727    All      -0.24000610681721         0.22429214431625155       -0.03306795441592181       0.14976154442295775      
Check         All|All|All               All                  All      0.9897031533179657        1.0100333693499053        0.02301490820359464        0.007649269855319885     
Lambda        AB|PS|PS_z                6681.557536518572    All      -0.0014567420481541632    0.0003604917884823997     -0.00017356445788099486    0.0005841874612074484    
Lambda        AB|PS|PS_r                4800.026764802809    All      -0.0005096266818902402    0.0005120619089740675     -0.00024415411494639545    0.0003219021098099843    
Lambda        AB|PS|PS_i                5813.871986138228    All      -0.0001931674306550774    -5.754175411418021e-05    -0.0002804411652485681     3.166294361623563e-05    
Lambda        AB|PS|PS_g                3779.750674521727    All      -0.0006316047041290952    0.0005694696033985276     -0.00011407828204327544    0.0003861386263477831    
MWEBV         All|All|All               All                  All      -0.44458467081758357      -2.921042560517151        0.000805848945878429       -0.8066278463824045      
Redshift      All|All|All               All                  All      8.650896774714031         -1.5809343230717587       7.701849729214271          -2.9891458256949304      
