#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6681.557536518572    All      1.2931928329734732         -0.16147265307377978      0.03200421144251812        -0.47240420491193097      
Zeropoint     AB|PS|PS_r                4800.026764802809    All      -0.6330102686050961        0.6833668391848846        0.07934601799611557        0.4323281798877683        
Zeropoint     AB|PS|PS_i                5813.871986138228    All      0.6998271773003146         0.15705101040275338       -0.05921922283487896       -0.17944273629509436      
Zeropoint     AB|PS|PS_g                3779.750674521727    All      -0.36944668202369435       0.3291163084677251        -0.04325744270526869       0.22561456704911975       
Check         All|All|All               All                  All      0.9905630596449975         1.0080615049815833        0.00887356389848603        0.006095805729862708      
Lambda        AB|PS|PS_z                6681.557536518572    All      -0.001316590407060499      0.00011881468998414978    -0.0006319492122931939     0.00043935767262556395    
Lambda        AB|PS|PS_r                4800.026764802809    All      -0.00032686285920904324    0.0003242574127452543     -0.00016348159752908975    0.00020479586094228412    
Lambda        AB|PS|PS_i                5813.871986138228    All      -0.0003425841860666577     -4.118596142380257e-05    7.000093813012458e-05      0.00010129913783931018    
Lambda        AB|PS|PS_g                3779.750674521727    All      -0.0007139869725201161     0.0006316618795070282     -0.00010458971271102945    0.0004336547431223887     
MWEBV         All|All|All               All                  All      -0.4484918053828073        -2.919332088696791        -0.002157527495911533      -0.8049302490491609       
Redshift      All|All|All               All                  All      8.48262840613864           -0.8096742540976365       6.765621334316885          -2.724890077340346        
