#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7674.231090694279     All      0.08260468925283268        0.002432052767176174       0.08862210790895315        -0.022160067655416914     
Zeropoint     AB|SDSS|SDSS_u            3097.8074172496167    All      -0.11413803468456545       0.04616961141206133        0.07329005024162176        0.05548807263183354       
Zeropoint     AB|SDSS|SDSS_r            5322.787403008289     All      0.6721186674240334         0.28048038352910254        -1.083684036190933         -0.17592931493585948      
Zeropoint     AB|SDSS|SDSS_g            4073.454579323086     All      -0.6795107938182853        0.5989700498558292         0.15775479821879723        0.4234831436580097        
Zeropoint     AB|SDSS|SDSS_i            6454.810054637133     All      1.030606726137778          0.07259204455589696        0.7781070050031678         -0.2773335576209926       
Check         All|All|All               All                   All      0.9916812543117933         1.0006441421200662         0.0140899251816069         0.003548276077574297      
Lambda        AB|SDSS|SDSS_z            7674.231090694279     All      -7.92299057239252e-06      -1.499049757820927e-07     -1.7172056916697298e-05    1.7656396739488263e-06    
Lambda        AB|SDSS|SDSS_u            3097.8074172496167    All      -8.459584372305815e-05     3.519264327586943e-05      6.98195246392484e-05       4.21347758548875e-05      
Lambda        AB|SDSS|SDSS_r            5322.787403008289     All      0.00016920168977163443     7.138045286314992e-05      -0.00027711283637293216    -4.422986823829845e-05    
Lambda        AB|SDSS|SDSS_g            4073.454579323086     All      -0.0004831987786682271     0.00033682650543685587     -0.0009069217426383806     0.00022663746103049673    
Lambda        AB|SDSS|SDSS_i            6454.810054637133     All      -0.00025724631402007056    -2.3167881067114368e-05    -9.510538048667285e-05     7.200293023657395e-05     
MWEBV         All|All|All               All                   All      -0.8108964947269199        -3.3126735907396565        0.16643015099093572        -0.8074840929403838       
Redshift      All|All|All               All                   All      4.472910237052247          -0.628051024351528         -4.497970576804704         -1.8622746678912117       
