#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3032.170691731818     All      -0.06808716772638142      0.02727003440678999        0.01106684894713748       0.03155484053385318       
Zeropoint     AB|SDSS|SDSS_r            5210.007527211155     All      0.8189637554287211        0.4549813028063454         0.3314246597597051        -0.103771099099445        
Zeropoint     AB|SDSS|SDSS_i            6318.044743318361     All      1.0000149787962138        -0.004453965059347809      -0.14607895094086473      -0.3337074137245798       
Zeropoint     AB|SDSS|SDSS_z            7511.62853610834      All      0.11714179053507955       -0.0036854614076986536     0.06751277351708068       -0.036344626049165524     
Zeropoint     AB|SDSS|SDSS_g            3987.1457214375196    All      -0.875757377443135        0.5257842319144501         -0.2629543266824375       0.444793767622831         
Check         All|All|All               All                   All      0.9922759795904978        0.9998961426605391         0.0009710046006209949     0.0025254692834938974     
Lambda        AB|SDSS|SDSS_u            3032.170691731818     All      -7.473368197805372e-05    2.9860950257112844e-05     1.6465719388767387e-05    3.480470221219143e-05     
Lambda        AB|SDSS|SDSS_r            5210.007527211155     All      1.2801344298096653e-05    2.7551788064648333e-05     -0.0021428449288282934    -9.082062263287446e-05    
Lambda        AB|SDSS|SDSS_i            6318.044743318361     All      -0.0003400793679246539    -4.8248317919621594e-05    -0.0008416525432079771    5.749988650994772e-05     
Lambda        AB|SDSS|SDSS_z            7511.62853610834      All      -1.752787565184942e-05    -1.8714714255286902e-06    -4.490134808978839e-05    3.096064996097629e-06     
Lambda        AB|SDSS|SDSS_g            3987.1457214375196    All      -0.0007936678009435459    0.00041777546109612526     -0.0004844937602487539    0.00037298619442527423    
MWEBV         All|All|All               All                   All      -0.7023812598444272       -3.239552639967336         0.06274100832910953       -0.8236403459224172       
Redshift      All|All|All               All                   All      5.737905351108969         -0.29236135407675334       1.0893410706545072        -1.915643966940083        
