#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3032.170691731818     All      -0.10838933917918843       0.035680166831220106       -0.009246744858559808     0.046515538099278775       
Zeropoint     AB|SDSS|SDSS_r            5210.007527211155     All      0.8863610105885374         0.432155212673635          0.2854040286062509        -0.13521350032437984       
Zeropoint     AB|SDSS|SDSS_i            6318.044743318361     All      0.9531888275932703         0.016990180667164623       -0.11526673864769021      -0.3100945244693287        
Zeropoint     AB|SDSS|SDSS_z            7511.62853610834      All      0.11657714865258155        -0.0011214294538319791     0.07193895644084236       -0.035127993835185056      
Zeropoint     AB|SDSS|SDSS_g            3987.1457214375196    All      -0.8562330841910915        0.5163848602345311         -0.23236662747304626      0.4367373669256727         
Check         All|All|All               All                   All      0.9915045634641093         1.0000889909527189         0.00046287406779699225    0.0028168863960578716      
Lambda        AB|SDSS|SDSS_u            3032.170691731818     All      -8.318782156707505e-05     3.242774189130091e-05      3.783781585194147e-05     3.934832059612115e-05      
Lambda        AB|SDSS|SDSS_r            5210.007527211155     All      -5.179194298539824e-05     -2.455683491770367e-05     -0.0025489653555469984    -0.00010487724613753884    
Lambda        AB|SDSS|SDSS_i            6318.044743318361     All      -0.00042600201856130715    -6.357027985369943e-05     -0.0010295603668578558    7.21113903739679e-05       
Lambda        AB|SDSS|SDSS_z            7511.62853610834      All      -1.8282443919491077e-05    -2.0333131691395837e-06    -4.921780616286278e-05    3.0965118260714314e-06     
Lambda        AB|SDSS|SDSS_g            3987.1457214375196    All      -0.0006923654853437761     0.0003390273638473008      -0.0005087937375341042    0.0003132534550973631      
MWEBV         All|All|All               All                   All      -0.7500726194575429        -3.2227350683751155        0.06941950913127437       -0.8023296339304847        
Redshift      All|All|All               All                   All      5.77358033571666           0.11266711592696765        1.5272606484534657        -1.7757910459125628        
