#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5529.449290801739    All      1.0630935356455802         0.40426894271536895        0.15456674193708478       -0.20770324080939107       
Zeropoint     AB|PS|PS_g                3594.840019950975    All      -0.5696449645293735        0.2577662587425422         -0.48487185410732464      0.2478774525274307         
Zeropoint     AB|PS|PS_z                6354.686458498029    All      0.8598399297558853         -0.13039759155493158       -0.377335522796054        -0.3393916898807415        
Zeropoint     AB|PS|PS_r                4565.202786327264    All      -0.36086422588996514       0.46718042186633113        0.6931445456438737        0.3006532412083085         
Check         All|All|All               All                  All      0.9924242749821267         0.9988180317693107         -0.01449608932242008      0.001435763045606664       
Lambda        AB|PS|PS_i                5529.449290801739    All      -7.3837372103585755e-06    1.2690963457897835e-05     -0.000727016767412955     -2.5904428816716102e-05    
Lambda        AB|PS|PS_g                3594.840019950975    All      -0.001092758527480756      0.00046167053423203374     -0.0011846461883938011    0.00045346336609212995     
Lambda        AB|PS|PS_z                6354.686458498029    All      0.00011501434612678943     -4.9373197155887295e-05    -0.0008512295899922325    -9.153289808195851e-05     
Lambda        AB|PS|PS_r                4565.202786327264    All      -0.00011350263174328868    -0.0001652489019163258     -0.0014935888239673311    -8.350747200539463e-05     
MWEBV         All|All|All               All                  All      -0.4438011147559475        -2.689237734099059         -0.05720132612547103      -0.7339652120593815        
Redshift      All|All|All               All                  All      5.0332732881259155         -0.35169124583571687       5.470126098414318         -1.5099535043905117        
