#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5529.449290801739    All      1.0789962345716395         0.3504548223338233         0.3244598305712554        -0.22283075421809587       
Zeropoint     AB|PS|PS_g                3594.840019950975    All      -0.5826441593129502        0.27117099384792454        -0.40509041118814704      0.2600383605303253         
Zeropoint     AB|PS|PS_z                6354.686458498029    All      0.8323114771950744         -0.09555391604028074       -0.6683561902173007       -0.3320619515619301        
Zeropoint     AB|PS|PS_r                4565.202786327264    All      -0.3355959068733372        0.4742421394011487         0.7429130876265733        0.2969436935763278         
Check         All|All|All               All                  All      0.9930676455804266         1.0003140395426158         -0.0060736832076191405    0.0020893483266271606      
Lambda        AB|PS|PS_i                5529.449290801739    All      -4.867362105692107e-05     -1.0694994002819782e-05    -0.0010614553589083395    -3.4996989288710496e-05    
Lambda        AB|PS|PS_g                3594.840019950975    All      -0.0011445488883529867     0.00043194141395816996     -0.0015587166637419513    0.00044395639067703886     
Lambda        AB|PS|PS_z                6354.686458498029    All      -0.0002898064274925855     -5.912386479491309e-05     -0.0021679800425278735    -2.1606092224314753e-05    
Lambda        AB|PS|PS_r                4565.202786327264    All      -0.00014616099632282188    -0.00017971461249520368    -0.0016651988753582415    -8.523969449396123e-05     
MWEBV         All|All|All               All                  All      -0.44486287422752424       -2.686532381848039         -0.0334405320716602       -0.7316778047277955        
Redshift      All|All|All               All                  All      6.237048252800897          0.024988230760136787       11.480292536994163        -1.511159591033407         
