#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5576.520598751706    All      0.40830054766795093        0.4274015981430068         -0.4240421695178958        -0.012701213924721757      
Zeropoint     AB|PS|PS_i                6754.37418952334     All      0.9853057909957963         -0.14581762407317456       0.20714179617003972        -0.359200322147777         
Zeropoint     AB|PS|PS_g                4391.19582606785     All      -0.8701502637328965        0.8189034651744365         0.07676511009465088        0.5536060420163844         
Zeropoint     AB|PS|PS_z                7762.424057164855    All      0.4733245277327365         -0.1016761029640989        0.14135616252811728        -0.18098854606856132       
Check         All|All|All               All                  All      0.9967806026635869         0.9988113362801698         0.0012208992749120906      0.0007159598753243845      
Lambda        AB|PS|PS_r                5576.520598751706    All      -1.9825576837328914e-05    -4.6863544265080645e-05    -0.0006328773868964892     -3.7049566590413933e-05    
Lambda        AB|PS|PS_i                6754.37418952334     All      -0.0004880850836540728     1.6210113536288927e-05     -0.00048675165614907854    0.00014254404569965406     
Lambda        AB|PS|PS_g                4391.19582606785     All      -0.00046208271116072216    0.00022320765991211758     -0.0009030686013628648     0.00018292181520720757     
Lambda        AB|PS|PS_z                7762.424057164855    All      -0.00024932113227793486    6.493032687881585e-05      -2.8567394863904856e-06    0.00010223455565052614     
MWEBV         All|All|All               All                  All      -0.5743148698203937        -3.6254388324282516        0.026386585579249944       -0.9926739414929969        
Redshift      All|All|All               All                  All      4.181730292723772          0.7261871482883819         1.2992716217339835         -1.0676035609960375        
