#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5576.520598751706    All      0.4705242076812015         0.39155879235330815       -0.4265538336565955       -0.044756772162490854      
Zeropoint     AB|PS|PS_i                6754.37418952334     All      0.9953257472167523         -0.1368399237234641       0.23978840146109404       -0.35808295112053634       
Zeropoint     AB|PS|PS_g                4391.19582606785     All      -0.917851039898991         0.8374167093753826        0.06974082644295443       0.5748606653084881         
Zeropoint     AB|PS|PS_z                7762.424057164855    All      0.4488862376607964         -0.09340719174133483      0.11794058169304344       -0.1713796644007115        
Check         All|All|All               All                  All      0.9968851526597591         0.9987283862638918        0.0009159759404964163     0.0006412776247494145      
Lambda        AB|PS|PS_r                5576.520598751706    All      -3.923063551368133e-05     -8.81477920444777e-05     -0.0007212983419467702    -4.8122159406353065e-05    
Lambda        AB|PS|PS_i                6754.37418952334     All      -0.0005218323068844972     3.566695991199537e-05     -0.0004237638856305512    0.0001626852164381456      
Lambda        AB|PS|PS_g                4391.19582606785     All      -0.00037352553630523664    0.00011779267537211935    -0.000951703352513012     0.00011756835582510533     
Lambda        AB|PS|PS_z                7762.424057164855    All      -0.0002565335273832674     6.60095334253321e-05      1.9048819321205795e-05    0.00010591294757511554     
MWEBV         All|All|All               All                  All      -0.5789916376060278        -3.61970048485194         0.04222162934434115       -0.988574750496983         
Redshift      All|All|All               All                  All      4.351581809865239          1.3341046982171534        2.7297389012249207        -0.8610758573877109        
