#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4339.880856883643    All      -0.22156024326356327       0.4538375115407334         -0.14855055221036895      0.21337013978875444        
Zeropoint     VEGAHST|UVOT|UVOT_v       5391.900584698232    All      1.9542970798269383         0.36017230365983366        0.23823844182330467       -0.5086273972759974        
Zeropoint     VEGAHST|UVOT|UVOT_u       3462.283669246369    All      -0.7423551842426297        0.1858602704620349         -0.08861018514910673      0.29839604538737363        
Check         All|All|All               All                  All      0.9903816523207454         0.9998700856626019         0.0010777044638289879     0.0031387879001306684      
Lambda        VEGAHST|UVOT|UVOT_b       4339.880856883643    All      -0.0002566577400932603     -0.00010373175723861232    -0.0016151704837531727    -2.2264616749034766e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5391.900584698232    All      0.0006225584725588297      1.7755790394585717e-05     -0.001775638508634534     -0.00027624272242579       
Lambda        VEGAHST|UVOT|UVOT_u       3462.283669246369    All      -0.00016132334082200712    -4.022623404368956e-05     -0.0008878799945682506    -1.7669461808885826e-07    
MWEBV         All|All|All               All                  All      -1.5807623404038207        -3.9014425468332448        0.06755543478224697       -0.752907202561647         
Redshift      All|All|All               All                  All      0.6506167688233773         0.24301313731616148        2.6688766385112777        -0.013670205873345526      
