#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4339.880856883643    All      -0.43194581026222106       0.49271099706857946       -0.11960295419279898      0.2958538119239046         
Zeropoint     VEGAHST|UVOT|UVOT_v       5391.900584698232    All      2.086449882427182          0.33847476709638613       0.2565191913878717        -0.557925728374807         
Zeropoint     VEGAHST|UVOT|UVOT_u       3462.283669246369    All      -0.6573921815530097        0.17122317715472235       -0.10567366796183641      0.26519155250715326        
Check         All|All|All               All                  All      0.9971118906119513         1.002408941319688         0.031242569233236317      0.0031196360562508185      
Lambda        VEGAHST|UVOT|UVOT_b       4339.880856883643    All      -0.0003772992281974471     -0.000106315474356981     -0.0020072323983925788    -1.3052393287678283e-06    
Lambda        VEGAHST|UVOT|UVOT_v       5391.900584698232    All      0.000486649175600844       -7.66870925187889e-05     -0.003343013087607283     -0.00033268047593544976    
Lambda        VEGAHST|UVOT|UVOT_u       3462.283669246369    All      -0.00024514550511771393    1.0104801190004194e-05    -0.0006639195387677255    5.351574250701619e-05      
MWEBV         All|All|All               All                  All      -1.5207951361778105        -3.9205516272483365       -0.04441307154312568      -0.7836615901862978        
Redshift      All|All|All               All                  All      0.03706052723138703        -0.019855283164460502     2.975197969479648         0.11423006886738252        
