#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  UVOT
@BAND  UVOT_b
@MAGSYS AB
56065.7186  6995.173814800034  405.02414589716363  25.0
56065.7637  7188.34704926141  415.00263085609566  25.0
56065.8517  8463.034538117801  431.37758053229174  25.0
56065.8979  8743.967268500042  446.72909585372565  25.0
56067.0356  12543.211451966235  548.5608141525704  25.0
56067.1022  12471.315188544188  573.379097255555  25.0
56067.1698  12688.539130342475  567.4943497156721  25.0
56067.2377  13440.507522504044  543.9553595561401  25.0
56067.302  14796.558042564038  646.5546536210566  25.0
56067.3695  13561.0169177773  547.2815212091175  25.0
56071.3131  58695.49539714764  1637.7508262083034  25.0
56071.3801  55845.23071913475  1564.063552665421  25.0
56071.4474  58903.764288341765  1639.797694917828  25.0
56073.4547  78364.11268555741  2155.096892540625  25.0
56073.4553  93052.95426228273  2526.6035633193246  25.0
56073.5911  95425.01923803294  2578.542856823509  25.0
56080.6769  152769.58128689442  4061.755095462712  25.0
56082.4087  147801.06335311235  3936.6402455930256  25.0
56084.6991  144893.23049264407  3858.0916588650225  25.0
56086.4232  138737.78456592647  3697.9241823447287  25.0
56088.2201  124292.77622422326  3337.163572291033  25.0
56094.2368  78475.66703022648  2143.327397460859  25.0
56094.4383  74694.07708937995  2050.9624469435653  25.0
56114.026  14391.789755255564  561.6096021757891  25.0
56114.828  14482.619554240713  563.9123294740042  25.0
56118.1594  12350.29407609355  531.4182887103025  25.0
56118.225  12727.685494412131  553.9338445150722  25.0
56126.3778  9288.434345233563  480.2465709721896  25.0
56126.4465  9418.922225465752  470.26808601325763  25.0
56130.4284  8158.30695898734  484.34030839123864  25.0
56252.3983  2029.214466904867  296.28424570367366  25.0
56254.5325  1523.382037063621  190.87050716316114  25.0
56411.4988  423.7018228715748  155.56202192386323  25.0
56416.845  437.2623280721748  165.54050688279526  25.0
56419.8884  423.4459642828843  170.1459614792254  25.0
