#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5431.268762969626     All      2.3307654723028173         0.2905681024808926         0.27035606221561576        -0.6524946544945881        
Zeropoint     VEGAHST|UVOT|UVOT_u       3487.5630301277333    All      -0.5092352252886204        0.17394894373667924        0.007354735077897659       0.22286376799054453        
Zeropoint     VEGAHST|UVOT|UVOT_b       4371.567866049812     All      -0.8342606935690258        0.5379700111600827         -0.2750440759526335        0.43470673170149765        
Check         All|All|All               All                   All      0.9872695534451711         1.0024870573776545         0.002666721340879863       0.005075845197454076       
Lambda        VEGAHST|UVOT|UVOT_v       5431.268762969626     All      0.0005678517367834391      -0.00025468434165957653    -0.003599416590086931      -0.00042855249227521995    
Lambda        VEGAHST|UVOT|UVOT_u       3487.5630301277333    All      -0.00014395863706786384    2.9233803486658473e-05     -0.00018253645585643925    4.8268712085403954e-05     
Lambda        VEGAHST|UVOT|UVOT_b       4371.567866049812     All      -8.348909147963799e-05     -4.69510724599955e-05      -0.0008203798398460912     -2.4708149524192837e-05    
MWEBV         All|All|All               All                   All      -1.3836024121532766        -3.96579318951642          0.04146614257989339        -0.8392540442442014        
Redshift      All|All|All               All                   All      0.30466067987274403        1.2833534312393202         8.69299774444927           0.7067209909954809         
