#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5235.0325455459915    All      0.7229334875763653         0.31935580988839973        -0.7943598693504583        -0.16690715954038385      
Zeropoint     AB|SDSS|SDSS_u            3046.7349945199867    All      -0.11131126665843663       0.03871092462706116        0.0319600077771931         0.050293391645268165      
Zeropoint     AB|SDSS|SDSS_g            4006.2970171432376    All      -0.7885977405481809        0.5484489170616058         -0.19533643490203256       0.42680311597010046       
Zeropoint     AB|SDSS|SDSS_z            7547.70883750115      All      0.12104002528337052        0.009764304122406031       0.21091103673466782        -0.026834172354500002     
Zeropoint     AB|SDSS|SDSS_i            6348.391951977096     All      1.0473268339071873         0.08372043573636745        0.7484179167696503         -0.2804798513268331       
Check         All|All|All               All                   All      0.9913913395603055         1.0000003914358402         0.001592657029020339       0.0028753243936516237     
Lambda        AB|SDSS|SDSS_r            5235.0325455459915    All      6.947007628494849e-05      4.7422884159692096e-05     -0.0014847399431840635     -7.343862030666877e-05    
Lambda        AB|SDSS|SDSS_u            3046.7349945199867    All      -8.629188727605065e-05     3.051246038151868e-05      1.791702197979466e-05      3.8846573182019934e-05    
Lambda        AB|SDSS|SDSS_g            4006.2970171432376    All      -0.0005267453597050788     0.0003006128272761537      -0.0007745806751138464     0.00023493180276567933    
Lambda        AB|SDSS|SDSS_z            7547.70883750115      All      -1.0346051942926813e-05    3.758866107915002e-07      -6.267914224798583e-07     3.4645173058106097e-06    
Lambda        AB|SDSS|SDSS_i            6348.391951977096     All      -0.0002749590935288099     -2.2830133543744822e-05    -0.00010006697394839768    7.766116760720996e-05     
MWEBV         All|All|All               All                   All      -0.7737431372044021        -3.24455188488475          0.09762869981199129        -0.8004669758326074       
Redshift      All|All|All               All                   All      4.489861335786051          -0.22415496000345314       -4.000019259230111         -1.714012682183723        
